"ZIPCODE","total_count","population","urticaria_count","urticaria_prev","urticaria_percap","heat_exhaustion_count","heat_exhaustion_prev","heat_exhaustion_percap","heat_syncope_count","heat_syncope_prev","heat_syncope_percap","heat_cramps_count","heat_cramps_prev","heat_cramps_percap","carbon_monoxide_count","carbon_monoxide_prev","carbon_monoxide_percap","heatstroke_count","heatstroke_prev","heatstroke_percap","all_effects_heat_count","all_effects_heat_prev","all_effects_heat_percap","hypothermia_count","hypothermia_prev","hypothermia_percap","osteoarthritis_count","osteoarthritis_prev","osteoarthritis_percap","kidney_disease_count","kidney_disease_prev","kidney_disease_percap","mental_illness_count","mental_illness_prev","mental_illness_percap","influenza_count","influenza_prev","influenza_percap","acute_bronchitis_count","acute_bronchitis_prev","acute_bronchitis_percap","bronchitis_count","bronchitis_prev","bronchitis_percap","copd_count","copd_prev","copd_percap","asthma_count","asthma_prev","asthma_percap","respiratory_count","respiratory_prev","respiratory_percap","hypertension_count","hypertension_prev","hypertension_percap","heart_attack_count","heart_attack_prev","heart_attack_percap","cerebrovascular_disease_count","cerebrovascular_disease_prev","cerebrovascular_disease_percap","congestive_artery_disease_count","congestive_artery_disease_prev","congestive_artery_disease_percap","angina_pectoris_count","angina_pectoris_prev","angina_pectoris_percap","heart_disease_count","heart_disease_prev","heart_disease_percap","circulatory_count","circulatory_prev","circulatory_percap","thyroid_count","thyroid_prev","thyroid_percap","diabetes_count","diabetes_prev","diabetes_percap"
"21212",71737,34010,222,0.00309463735589724,0.000217083068498509,11,0.000153337887003917,1.07563682589351e-05,1,1.3939807909447e-05,9.77851659903193e-07,0,0,0,10,0.00013939807909447,9.77851659903193e-06,0,0,0,18,0.000250916542370046,1.76013298782575e-05,7,9.75786553661291e-05,6.84496161932235e-06,1040,0.0144974002258249,0.00101696572629932,1366,0.0190417776043046,0.00133574536742776,15678,0.21854830840431,0.0153307583239623,515,0.00717900107336521,0.000503593604850144,781,0.0108869899772781,0.000763702146384394,1544,0.0215230634121862,0.00150980296289053,9032,0.125904345038125,0.00883195619224564,7265,0.101272704462133,0.00710409230919669,15002,0.209124998257524,0.0146697306018677,14742,0.205500648201068,0.0144154891702929,65,0.000906087514114056,6.35603578937075e-05,419,0.0058407795140583,0.000409719845499438,935,0.013033720395333,0.000914291302009485,31,0.000432134045192857,3.0313401456999e-05,15940,0.222200538076585,0.0155869554588569,16319,0.227483725274266,0.0159575612379602,1243,0.0173271812314426,0.00121546961325967,6176,0.0860922536487447,0.00603921185156212
"21213",146874,31733,399,0.00271661424077781,0.000390162812301374,36,0.000245108051799502,3.52026597565149e-05,3,2.04256709832918e-05,2.93355497970958e-06,0,0,0,24,0.000163405367866334,2.34684398376766e-05,2,1.36171139888612e-05,1.95570331980639e-06,44,0.000299576507754946,4.30254730357405e-05,17,0.00011574546890532,1.66234782183543e-05,2115,0.0144000980432207,0.00206815626069525,2635,0.0179405476803246,0.00257663912384491,33509,0.228147936326375,0.0327668312716961,896,0.00610046706700982,0.000876155087273261,1004,0.00683579122240832,0.000981763066542805,2587,0.017613736944592,0.00252970224416956,23243,0.15825129022155,0.0227282061311299,19389,0.132011111565015,0.018959565833863,34911,0.237693533232567,0.0341377792988804,28261,0.192416629219603,0.0276350657605241,104,0.000708089927420782,0.000101696572629932,471,0.00320683034437681,0.000460568131814404,1792,0.0122009341340196,0.00175231017454652,48,0.000326810735732669,4.69368796753533e-05,29828,0.203085638029876,0.0291673593115924,30392,0.206925664174735,0.0297188676477778,1675,0.0114043329656713,0.00163790153033785,12541,0.0853861132671542,0.0122632376668459
"21214",47268,20790,158,0.00334264195650334,0.000154500562264704,10,0.000211559617500212,9.77851659903193e-06,0,0,0,1,2.11559617500212e-05,9.77851659903193e-07,7,0.000148091732250148,6.84496161932235e-06,1,2.11559617500212e-05,9.77851659903193e-07,16,0.000338495388000338,1.56456265584511e-05,5,0.000105779808750106,4.88925829951596e-06,661,0.013984090716764,0.00064635994719601,940,0.0198866040450199,0.000919180560309001,10606,0.224380130320724,0.0103710947049333,364,0.0077007700770077,0.000355938004204762,536,0.0113395954980113,0.000524128489708111,1070,0.0226368790725226,0.00104630127609642,5863,0.124037403740374,0.00573314428201242,4511,0.0954345434543454,0.0044110888378233,9868,0.208767030549209,0.00964944017992471,9704,0.205297452822205,0.00948907250770058,40,0.000846238470000846,3.91140663961277e-05,277,0.00586020140475586,0.000270864909793184,592,0.0125243293560125,0.00057888818266269,24,0.000507743082000508,2.34684398376766e-05,10490,0.221926038757722,0.0102576639123845,10737,0.227151561309977,0.0104991932723806,820,0.0173478886350173,0.000801838361120618,4154,0.0878818651095879,0.00406199579523786
"21215",218381,59404,597,0.00273375431012771,0.000583777440962206,43,0.000196903576776368,4.20476213758373e-05,5,2.28957647414381e-05,4.88925829951596e-06,2,9.15830589657525e-06,1.95570331980639e-06,38,0.00017400781203493,3.71583630763213e-05,1,4.57915294828763e-06,9.77851659903193e-07,55,0.000251853412155819,5.37818412946756e-05,24,0.000109899670758903,2.34684398376766e-05,2506,0.0114753572884088,0.0024504962597174,2847,0.0130368484437749,0.00278394367574439,36027,0.164973143267958,0.0352290617513323,1382,0.0063283893745335,0.00135139099398621,1625,0.00744112354096739,0.00158900894734269,4556,0.0208626208323984,0.00445509216251895,22112,0.101254229992536,0.0216222559037794,16654,0.0762612132007821,0.0162851415440278,38541,0.176485133779953,0.037687380824329,34055,0.155943053653935,0.0333007382780032,81,0.000370911388811298,7.92059844521586e-05,604,0.00276580838076573,0.000590622402581528,2077,0.0095109006735934,0.00203099789761893,86,0.000393807153552736,8.40952427516746e-05,36448,0.166900966659187,0.0356407373001516,37663,0.172464637491357,0.0368288270669339,1633,0.00747775676455369,0.00159683176062191,14805,0.0677943593993983,0.0144770938248668
"21216",138141,30037,387,0.0028014854387908,0.000378428592382536,33,0.000238886355245727,3.22691047768054e-05,3,2.17169413859752e-05,2.93355497970958e-06,3,2.17169413859752e-05,2.93355497970958e-06,9,6.51508241579256e-05,8.80066493912873e-06,1,7.23898046199173e-06,9.77851659903193e-07,39,0.000282320238017678,3.81362147362245e-05,19,0.000137540628777843,1.85791815381607e-05,2234,0.0161718823520895,0.00218452060822373,2398,0.0173590751478562,0.00234488828044786,32644,0.236309278201258,0.0319209895858798,801,0.00579842335005538,0.000783259179582457,1133,0.00820176486343663,0.00110790593067032,2637,0.0190891914782722,0.00257859482716472,20451,0.148044389428193,0.0199980442966802,17004,0.123091623775707,0.0166273896249939,31474,0.227839671060728,0.0307769031437931,25495,0.184557806878479,0.0249303280692319,75,0.00054292353464938,7.33388744927394e-05,587,0.00424928153118915,0.000573998924363174,1600,0.0115823687391868,0.00156456265584511,46,0.00033299310125162,4.49811763555469e-05,26826,0.19419288987339,0.026231848628563,27477,0.198905466154147,0.02686843005916,1322,0.00956993217075307,0.00129271989439202,10889,0.078825258250628,0.0106478267246859
"21217",170191,36563,448,0.00263233661004401,0.00043807754363663,33,0.000193899794936277,3.22691047768054e-05,3,1.76272540851161e-05,2.93355497970958e-06,2,1.17515027234108e-05,1.95570331980639e-06,32,0.000188024043574572,3.12912531169022e-05,1,5.87575136170538e-06,9.77851659903193e-07,48,0.000282036065361858,4.69368796753533e-05,24,0.000141018032680929,2.34684398376766e-05,2732,0.0160525527201791,0.00267149073485552,2398,0.0140900517653695,0.00234488828044786,44811,0.26329829426938,0.043818510731922,702,0.00412477745591718,0.000686451865252041,1188,0.00698039261770599,0.00116168777196499,2995,0.0175978753283076,0.00292866572141006,25797,0.151576757877914,0.0252256392705227,21440,0.125976109194963,0.0209651395883245,38737,0.227608980498381,0.03787903974967,30953,0.181872131898867,0.0302674424289835,77,0.000452432854851314,7.52945778125458e-05,603,0.00354307807110834,0.000589644550921625,1693,0.0099476470553672,0.00165550286021611,51,0.000299663319446974,4.98704346550628e-05,32515,0.19105005552585,0.0317948467217523,33242,0.19532172676581,0.0325057448785019,1734,0.0101885528611971,0.00169559477827214,12308,0.0723187477598698,0.0120353982300885
"21218",173151,48815,453,0.00261621359391514,0.000442966801936146,31,0.000179034484351809,3.0313401456999e-05,4,2.31012237873301e-05,3.91140663961277e-06,2,1.15506118936651e-05,1.95570331980639e-06,35,0.000202135708139139,3.42248080966117e-05,1,5.77530594683253e-06,9.77851659903193e-07,45,0.000259888767607464,4.40033246956437e-05,33,0.000190585096245474,3.22691047768054e-05,2882,0.0166444317387714,0.002818168483841,3183,0.018382798828768,0.00311250183347186,45215,0.261130458386033,0.0442135628025229,1018,0.00587926145387552,0.00099545298978145,1586,0.0091596352316764,0.00155087273260646,3776,0.0218075552552396,0.00369236786779446,25453,0.146998862264728,0.024889258299516,20184,0.116568775230868,0.019736957903486,38955,0.224977043158861,0.0380922114115289,37140,0.21449486286536,0.0363174106488046,91,0.000525552841161761,8.89845010511905e-05,751,0.00433725476607123,0.000734366596587298,2368,0.0136759244820994,0.00231555273065076,74,0.000427372640065607,7.23610228328363e-05,39412,0.227616357976564,0.0385390896201046,40080,0.231474262349048,0.03919229452892,2238,0.0129251347090112,0.00218843201486335,15677,0.0905394713284936,0.0153297804723024
"21222",125941,54771,447,0.00354928101253762,0.000437099691976727,29,0.000230266553386109,2.83576981371926e-05,4,3.17609039153254e-05,3.91140663961277e-06,0,0,0,26,0.000206445875449615,2.5424143157483e-05,2,1.58804519576627e-05,1.95570331980639e-06,42,0.000333489491110917,4.10697697159341e-05,11,8.73424857671449e-05,1.07563682589351e-05,1926,0.0152928752352292,0.00188334229697355,1846,0.0146576571569227,0.00180511416418129,37202,0.295392286864484,0.0363780374517186,820,0.00651098530264171,0.000801838361120618,751,0.00596310971010235,0.000734366596587298,2015,0.0159995553473452,0.00197037109470493,15087,0.119794189342629,0.0147528479929595,9781,0.0776633502989495,0.00956436708551313,23606,0.187436974456293,0.0230831662836748,22267,0.176805011870638,0.0217738229110644,86,0.000682859434179497,8.40952427516746e-05,466,0.00370014530613541,0.000455678873514888,1675,0.0132998785145425,0.00163790153033785,61,0.000484353784708713,5.96489512540948e-05,25163,0.199799906305333,0.024605681318144,25643,0.203611214775172,0.0250750501148976,2957,0.0234792482194043,0.00289150735833374,10381,0.0824274858862483,0.010151078081455
"21223",154267,23811,444,0.00287812688390907,0.000434166136997018,41,0.00026577297801863,4.00919180560309e-05,1,6.48226775655195e-06,9.77851659903193e-07,0,0,0,26,0.000168538961670351,2.5424143157483e-05,1,6.48226775655195e-06,9.77851659903193e-07,50,0.000324113387827598,4.88925829951596e-05,23,0.000149092158400695,2.24905881777734e-05,3108,0.0201468881873635,0.00303916295897912,2378,0.0154148327250805,0.00232533124724979,51939,0.336682505007552,0.0507886373637119,641,0.0041551336319498,0.000626802913997947,1330,0.0086214161162141,0.00130054270767125,2936,0.0190319381332365,0.00287097247347577,27944,0.181140490189088,0.0273250867843348,22915,0.148541165641388,0.0224074707866817,39771,0.257806270945828,0.0388901383660099,30818,0.199770527721418,0.0301354324548966,67,0.000434311939688981,6.55160612135139e-05,534,0.00346153098199874,0.000522172786388305,2000,0.0129645355131039,0.00195570331980639,44,0.000285219781288286,4.30254730357405e-05,32749,0.21228778675932,0.0320236640101697,33421,0.216643870691723,0.0326807803256246,1689,0.0109485502408162,0.00165159145357649,12942,0.0838935093052954,0.0126553561824671
"21224",110122,50957,444,0.00403189190170901,0.000434166136997018,19,0.000172535914712773,1.85791815381607e-05,0,0,0,2,1.81616752329235e-05,1.95570331980639e-06,17,0.00015437423947985,1.66234782183543e-05,2,1.81616752329235e-05,1.95570331980639e-06,26,0.000236101778028005,2.5424143157483e-05,7,6.35658633152322e-05,6.84496161932235e-06,1268,0.0115145020976735,0.00123991590475725,1166,0.0105882566607944,0.00114017503544712,25693,0.233313960879752,0.0251239426978927,804,0.00730099344363524,0.000786192734562167,587,0.00533045168086304,0.000573998924363174,1771,0.0160821634187537,0.00173177528968855,13017,0.118205263253483,0.0127286950569599,9664,0.0877572147254863,0.00944995844130445,22134,0.200995259802764,0.0216437686402973,14887,0.135186429596266,0.0145572776609788,42,0.000381395179891393,4.10697697159341e-05,292,0.00265160458400683,0.000285532684691732,1063,0.00965293038629883,0.00103945631447709,36,0.000326910154192623,3.52026597565149e-05,16332,0.148308239952053,0.0159702733095389,16821,0.152748769546503,0.0164484427712316,1569,0.0142478342202285,0.00153424925438811,6846,0.0621674143222971,0.00669437246369726
"21225",150922,33001,492,0.00325996209962762,0.000481103016672371,34,0.000225281933714104,3.32469564367086e-05,6,3.97556353613125e-05,5.86710995941916e-06,2,1.32518784537708e-05,1.95570331980639e-06,18,0.000119266906083937,1.76013298782575e-05,4,2.65037569075416e-05,3.91140663961277e-06,50,0.000331296961344271,4.88925829951596e-05,12,7.95112707226249e-05,1.17342199188383e-05,1820,0.0120592093929314,0.00177969002102381,1658,0.010985807238176,0.00162127805211949,37446,0.248114920289951,0.036616633256735,783,0.00518811041465128,0.0007656578497042,1568,0.0103894727077563,0.00153327140272821,3335,0.0220975073216628,0.00326113528577715,22118,0.146552523820252,0.0216281230137388,16990,0.112574707464783,0.0166136997017552,35436,0.234796782443911,0.0346511514203295,24968,0.165436450616875,0.0244150002444629,118,0.000781860828772478,0.000115386495868577,379,0.00251123096698957,0.00037060577910331,1532,0.0101509388955884,0.00149806874297169,33,0.000218655994487219,3.22691047768054e-05,26898,0.178224513324764,0.0263022539480761,27415,0.181650123905064,0.026807803256246,2074,0.0137421979565603,0.00202806434263922,11621,0.0770000397556354,0.011363614139735
"21226",21124,7770,69,0.00326642681310358,6.74717645333203e-05,6,0.00028403711418292,5.86710995941916e-06,0,0,0,0,0,0,1,4.73395190304866e-05,9.77851659903193e-07,0,0,0,7,0.000331376633213407,6.84496161932235e-06,3,0.00014201855709146,2.93355497970958e-06,297,0.0140598371520545,0.000290421942991248,226,0.01069873130089,0.000220994475138122,6512,0.308274947926529,0.00636777000928959,112,0.0053020261314145,0.000109519385909158,214,0.0101306570725241,0.000209260255219283,495,0.0234330619200909,0.00048403657165208,2869,0.135817080098466,0.00280545641226226,1939,0.0917913274001136,0.00189605436855229,4567,0.216199583412233,0.00446584853077788,3620,0.171369058890362,0.00353982300884956,28,0.00132550653285363,2.73798464772894e-05,68,0.00321908729407309,6.64939128734171e-05,247,0.0116928612005302,0.000241529359996089,13,0.000615413747396326,1.27120715787415e-05,4033,0.190920280249953,0.00394367574438958,4123,0.195180836962696,0.00403168239378086,381,0.0180363567506154,0.000372561482423116,1783,0.0844063624313577,0.00174350950960739
