nbrdesc,combined_ht,avg_ht,combined_diam,avg_diam,absent,dead,fair,good,n/a,poor,sprouts,stump,stump w
walbrook,10137,11.62,5764.5,6.61,51.38,0.23,11.35,28.9,NA,4.47,0.11,3.56,NA
waltherson,17393,13.03,9602.94333,7.19,53.93,1.12,16.63,19.4,NA,5.99,0.22,2.7,NA
washington hill,16106,15.79,6792.85,6.66,33.24,1.67,20.98,37.65,NA,4.41,0.1,1.96,NA
washington village/pigtown,22541,14.28,9030,5.72,26.22,3.1,8.23,56.81,NA,2.41,0.06,3.17,NA
waverly,9440,16.68,4958.3,8.76,37.81,0.35,19.08,33.39,NA,5.65,0.35,3.36,NA
west arlington,12181,11.63,5809.6845,5.55,73.73,0.57,8.31,6.78,NA,9.46,NA,1.15,NA
west forest park,10949,18.01,5933.4,9.76,47.53,2.47,20.23,16.28,NA,9.38,NA,4.11,NA
west hills,9385,20.23,4454.7,9.6,39.44,2.16,13.15,38.15,NA,3.45,NA,3.66,NA
westfield,9889,10.37,4800.5,5.03,62.05,1.05,10.8,21.28,NA,3.67,0.21,0.94,NA
westgate,16986,27.4,7924.6,12.78,36.29,1.61,17.9,36.61,NA,4.03,NA,3.55,NA
westport,8929,13.63,4869.905,7.43,25.5,5.65,22.9,38.47,NA,5.8,NA,1.68,NA
wilhelm park,2188,21.88,1117.6,11.18,24,NA,20,49,NA,2,3,2,NA
wilson park,1473,14.44,953.1,9.34,24.51,0.98,23.53,34.31,NA,10.78,NA,5.88,NA
winchester,3042,12.12,1626.4,6.48,65.74,0.8,10.36,18.73,NA,3.19,NA,1.2,NA
windsor hills,8350,15.27,4477.8,8.19,53.75,1.1,15.36,20.84,NA,4.39,0.18,4.39,NA
winston-govans,1106,6.83,797.7,4.92,68.52,NA,10.49,14.2,NA,5.56,NA,1.23,NA
woodberry,6845,19.96,3029.7,8.83,16.33,1.17,11.08,66.18,NA,3.21,0.58,1.46,NA
woodbourne heights,6213,11,3738.5,6.62,43.54,1.24,10.27,37.7,NA,2.48,0.18,4.6,NA
woodbourne-mccabe,910,10,839.7,9.23,46.15,1.1,19.78,15.38,NA,7.69,1.1,8.79,NA
woodmere,4979,9.65,2655.1,5.15,67.44,0.19,14.92,9.3,NA,5.04,NA,3.1,NA
wrenlane,252,9.69,219.3,8.43,42.31,NA,15.38,30.77,NA,NA,NA,11.54,NA
wyman park,13883,22.87,6451.42,10.63,14,1.32,17.96,59.47,NA,6.26,0.16,0.82,NA
wyndhurst,15435,22.18,7223.9,10.38,12.07,0.86,8.91,71.84,NA,1.01,NA,5.32,NA
yale heights,6541,12.9,3732.3,7.36,63.12,0.79,11.83,18.74,NA,3.35,NA,2.17,NA
york-homeland,243,17.36,96.2,6.87,7.14,NA,28.57,57.14,NA,7.14,NA,NA,NA
NA,150,11.54,78.8,6.06,61.54,NA,15.38,7.69,NA,7.69,NA,7.69,NA
