nbrdesc,combined_ht,avg_ht,combined_diam,avg_diam,absent,dead,fair,good,n/a,poor,sprouts,stump,stump w
bolton hill,39644,25.61,15678.4,10.13,2.58,1.1,15.18,76.36,NA,3.94,0.06,0.78,NA
boyd-booth,2971,13.2,828.5,3.68,48.44,1.33,13.33,31.56,NA,4.89,NA,0.44,NA
brewers hill,8021,14.02,2585.5,4.52,28.5,1.57,16.26,50.87,NA,1.57,0.17,1.05,NA
bridgeview/greenlawn,4139,9.81,2282,5.41,54.5,NA,13.03,26.78,NA,2.84,0.24,2.61,NA
broadway east,8768,5.75,4018.4,2.63,72.41,0.92,7.99,13.56,NA,3.74,NA,1.38,NA
broening manor,2232,9.3,951.2,3.96,55.42,NA,14.17,26.67,NA,1.67,0.42,1.67,NA
brooklyn,45784,14.74,23584.79,7.59,30.88,2.09,15.94,40.76,NA,7.02,0.29,3.03,NA
burleith-leighton,2729,13.51,1670.5,8.27,50,0.99,16.34,20.3,NA,5.94,NA,6.44,NA
butcher's hill,14971,23.84,5067.9,8.07,3.82,1.27,19.11,70.7,NA,3.5,0.16,1.43,NA
callaway-garrison,8005,10.64,5004.9,6.66,63.96,1.2,7.98,15.69,NA,8.24,0.13,2.79,NA
cameron village,3501,10.45,2295.3,6.85,68.36,0.6,6.87,17.91,NA,2.69,NA,3.58,NA
canton,62178,15.05,25118.9,6.08,27.76,1.14,21.39,41.94,NA,4.65,0.05,3.07,NA
canton industrial area,3626,8.13,1181.5,2.65,48.88,0.9,15.92,30.72,NA,3.14,0.22,0.22,NA
care,7276,13.38,2315.37,4.26,23.35,1.47,23.35,44.3,NA,5.51,0.18,1.84,NA
carroll - camden industrial area,15688,16.29,5313.23,5.52,24.09,1.45,13.19,57.22,NA,2.18,0.21,1.66,NA
carroll park,25284,25.77,13127.8,13.38,7.75,2.85,12.84,70.34,NA,4.69,0.2,1.33,NA
carroll-south hilton,7822,12,2900.1,4.45,37.88,2.76,10.89,46.47,NA,0.92,0.15,0.92,NA
carrollton ridge,9366,8.61,2894.9,2.66,51.65,1.1,11.31,31.53,NA,2.3,0.74,1.38,NA
cedarcroft,12105,30.41,6222.9,15.64,12.81,0.5,21.36,56.53,NA,7.54,NA,1.26,NA
cedmont,6994,13.74,4310.4,8.47,51.08,1.18,15.52,22,NA,6.29,NA,3.93,NA
cedonia,8479,20.24,3019,7.21,18.62,0.95,19.81,55.61,NA,3.82,NA,1.19,NA
central forest park,3716,6.71,1813.4,3.27,81.95,0.18,4.33,9.21,NA,2.71,0.9,0.72,NA
central park heights,17709,9.71,9351.7,5.13,61.11,1.54,13.33,13.55,NA,8.17,NA,2.3,NA
charles north,7441,15.15,2743.8,5.59,22.81,4.07,16.29,46.44,NA,7.74,0.41,2.24,NA
charles village,33118,20.62,11661.1,7.26,8.78,1.56,34.81,48.38,0.06,4.36,0.06,1.99,NA
cherry hill,10804,12.73,5397.1,6.36,47.59,1.65,13.9,31.57,NA,3.53,0.24,1.53,NA
cheswolde,31780,31.88,12711.5,12.75,26.28,1.3,23.07,36.51,NA,9.43,0.4,3.01,NA
chinquapin park,4854,13.34,2779.3,7.64,50,0.55,15.38,29.67,NA,1.65,0.27,2.47,NA
clifton park,39346,21.81,19155.9,10.62,1.61,2.44,30.71,53.66,NA,4.32,1.5,5.76,NA
coldspring,27980,24.98,12847.5,11.47,6.96,1.7,16.52,67.59,NA,4.91,0.27,2.05,NA
