nbrdesc,absent_all,stump_all,dead_all,poor_all,fair_all,good_all,sprouts_all,n/a_all,absent_filled,stump_filled,dead_filled,poor_filled,fair_filled,good_filled,sprouts_filled,n/a_filled
curtis bay industrial area,96.49,1.75,NA,NA,1.75,NA,NA,NA,NA,50,NA,NA,50,NA,NA,NA
cylburn,69.48,1.6,0.58,3.92,9.45,14.97,NA,NA,68.84,1.63,0.59,4.01,9.64,15.28,NA,NA
darley park,37.1,3.17,0.45,2.71,22.17,33.48,0.9,NA,20.11,4.02,0.57,3.45,28.16,42.53,1.15,NA
dickeyville,NA,7.5,15,5,27.5,45,NA,NA,NA,7.5,15,5,27.5,45,NA,NA
dolfield,66.44,2.53,0.17,7.76,9.78,13.15,0.17,NA,63.62,2.74,0.18,8.41,10.6,14.26,0.18,NA
dorchester,71.73,3,0.35,6.71,10.78,7.24,0.18,NA,71.58,3.02,0.36,6.75,10.83,7.28,0.18,NA
downtown,46,1.99,2.93,3.92,8.37,36.68,0.1,NA,8.02,3.39,4.99,6.68,14.26,62.48,0.18,NA
downtown west,60.95,0.3,2.37,5.62,7.99,22.78,NA,NA,6.38,0.71,5.67,13.48,19.15,54.61,NA,NA
druid heights,26.91,2.87,1.91,10.67,47.77,9.87,NA,NA,8.75,3.58,2.39,13.32,59.64,12.33,NA,NA
druid hill park,0.44,3.5,3.5,5.99,21.29,65.03,0.25,NA,0.44,3.5,3.5,5.99,21.29,65.03,0.25,NA
dunbar-broadway,21.01,1.12,2.8,3.64,17.65,53.78,NA,NA,7.99,1.31,3.26,4.24,20.55,62.64,NA,NA
east arlington,46.99,6.02,0.3,5.12,11.45,29.82,0.3,NA,46.99,6.02,0.3,5.12,11.45,29.82,0.3,NA
east baltimore midway,49.75,2.8,0.66,4.28,15.98,26.36,0.16,NA,30.29,3.89,0.91,5.94,22.17,36.57,0.23,NA
easterwood,55.4,1.15,1.15,5.98,9.2,26.67,0.46,NA,34.24,1.69,1.69,8.81,13.56,39.32,0.68,NA
eastwood,80.17,2.59,NA,6.9,6.03,3.45,0.86,NA,80.17,2.59,NA,6.9,6.03,3.45,0.86,NA
edgewood,36.78,6.32,0.57,5.46,20.98,28.16,1.72,NA,31.03,6.9,0.63,5.96,22.88,30.72,1.88,NA
edmondson village,30.14,3.5,0.7,2.57,21.73,41.36,NA,NA,29.31,3.55,0.71,2.6,21.99,41.84,NA,NA
ednor gardens-lakeside,31.4,2.72,1.27,3.86,16.67,44.02,0.06,NA,31.11,2.73,1.27,3.88,16.74,44.21,0.06,NA
ellwood park/monument,14.71,2.62,1.69,4.03,15.65,60.92,0.37,NA,5.31,2.91,1.87,4.47,17.38,67.64,0.42,NA
evergreen,2.82,6.27,1.57,2.51,10.34,76.49,NA,NA,2.52,6.29,1.57,2.52,10.38,76.73,NA,NA
evergreen lawn,50.94,3.77,0.75,2.64,12.83,29.06,NA,NA,35,5,1,3.5,17,38.5,NA,NA
evesham park,2.7,3.38,1.69,12.16,24.66,55.07,0.34,NA,2.7,3.38,1.69,12.16,24.66,55.07,0.34,NA
fairfield area,28.27,2.38,1.19,11.01,24.11,32.74,0.3,NA,24.45,2.51,1.25,11.6,25.39,34.48,0.31,NA
fairmont,45.48,2.26,6.21,11.02,12.71,22.32,NA,NA,40.25,2.48,6.81,12.07,13.93,24.46,NA,NA
fallstaff,51.7,1.07,0.54,6.8,12.88,26.83,0.18,NA,47.37,1.17,0.58,7.41,14.04,29.24,0.19,NA
federal hill,20.37,3.39,1.75,3.2,15.42,55.87,NA,NA,2.38,4.05,2.14,3.93,18.93,68.57,NA,NA
fells point,27.85,2.43,1.5,3.51,13.1,51.61,NA,NA,6.75,3.15,1.94,4.53,16.93,66.7,NA,NA
forest park,70.35,1.82,1.66,5.14,14.98,6.05,NA,NA,69.13,1.89,1.73,5.35,15.59,6.3,NA,NA
forest park golf course,42.22,3.46,3.7,4.94,13.83,31.6,0.25,NA,42.08,3.47,3.71,4.95,13.86,31.68,0.25,NA
