nbrdesc,combined_ht_all,avg_ht_all,combined_diam_all,avg_diam_all,absent_all,stump_all,dead_all,poor_all,fair_all,good_all,sprouts_all,n/a_all,combined_ht_filled,avg_ht_filled,combined_diam_filled,avg_diam_filled,absent_filled,stump_filled,dead_filled,poor_filled,fair_filled,good_filled,sprouts_filled,n/a_filled
johns hopkins homewood,10361,25.33,5485.2,13.41,15.65,1.47,0.98,7.33,23.47,50.61,0.49,NA,10361,25.33,5485.2,13.41,12.44,1.52,1.02,7.61,24.37,52.54,0.51,NA
johnston square,6954,8.49,3111.2,3.8,63.37,1.34,1.59,4.15,9.89,19.41,0.24,NA,6954,8.49,3111.2,3.8,23.47,2.81,3.32,8.67,20.66,40.56,0.51,NA
jones falls area,446,18.58,251.2,10.47,NA,NA,4.17,NA,29.17,62.5,4.17,NA,446,18.58,251.2,10.47,NA,NA,4.17,NA,29.17,62.5,4.17,NA
jonestown,8834,11.41,3712.35,4.8,41.73,2.07,0.78,1.81,10.59,43.02,NA,NA,8834,11.41,3712.35,4.8,9.8,3.2,1.2,2.8,16.4,66.6,NA,NA
kenilworth park,2246,8.35,1784.29,6.63,66.91,1.49,0.37,6.69,14.5,10.04,NA,NA,2246,8.35,1784.29,6.63,66.91,1.49,0.37,6.69,14.5,10.04,NA,NA
kernewood,4454,15.68,2210.67,7.78,35.56,2.11,0.7,8.8,18.31,34.15,0.35,NA,4454,15.68,2210.67,7.78,35.11,2.13,0.71,8.87,18.44,34.4,0.35,NA
keswick,7964,33.6,3581.4,15.11,5.06,1.27,0.84,5.06,21.52,66.24,NA,NA,7964,33.6,3581.4,15.11,5.06,1.27,0.84,5.06,21.52,66.24,NA,NA
kresson,1646,9.14,947.9,5.27,65.56,2.78,1.11,6.11,15.56,8.33,0.56,NA,1646,9.14,947.9,5.27,47.46,4.24,1.69,9.32,23.73,12.71,0.85,NA
lake evesham,2822,15.77,1667.5,9.32,10.06,0.56,2.23,6.7,22.35,58.1,NA,NA,2822,15.77,1667.5,9.32,10.06,0.56,2.23,6.7,22.35,58.1,NA,NA
lake walker,10877,23.65,5236,11.38,30.65,1.96,0.22,3.48,10.22,53.48,NA,NA,10877,23.65,5236,11.38,30.65,1.96,0.22,3.48,10.22,53.48,NA,NA
lakeland,8187,24.59,3221.8,9.68,23.42,1.5,5.71,5.11,23.42,40.84,NA,NA,8187,24.59,3221.8,9.68,23.42,1.5,5.71,5.11,23.42,40.84,NA,NA
langston hughes,2038,6.51,1306.1,4.17,77.96,2.24,0.32,9.58,6.07,3.51,0.32,NA,2038,6.51,1306.1,4.17,72.18,2.82,0.4,12.1,7.66,4.44,0.4,NA
lauraville,21559,17.15,10437.2,8.3,41.13,2.39,0.56,3.42,12.57,39.78,0.16,NA,21559,17.15,10437.2,8.3,39.84,2.44,0.57,3.5,12.85,40.65,0.16,NA
