nbrdesc,all_tracked_spaces,spaces_with_live_trees,spaces_without_live_trees,suitable_without_tree,unsuitable_without_tree,perc_spaces_treed,perc_spaces_nontreed,perc_of_nontreed_are_suitable,num_spaces_with_live_trees,num_spaces_without_live_trees,num_easy,num_moderate,num_hard,num_not_suitable,perc_of_nontreed_easy,perc_of_nontreed_moderate,perc_of_nontreed_hard,perc_of_nontreed_unsuitable,num_easy_or_moderate,num_hard_or_unsuitable,perc_easy_or_moderate_of_nontreed,poor_count,fair_count,good_count,poor_perc_of_live,fair_perc_of_live,good_perc_of_live,avg_ht,avg_diam
ednor gardens-lakeside,1656,1069,587,587,NA,64.55,35.45,100,1069,587,513,67,7,NA,87.39,11.41,1.19,NA,580,7,98.81,64,276,729,5.99,25.82,68.19,26.07,11.55
ellwood park/monument,1067,860,207,182,25,80.6,19.4,87.92,860,207,26,50,106,25,12.56,24.15,51.21,12.08,76,131,36.71,43,167,650,5,19.42,75.58,15.94,5.1
evergreen,319,285,34,34,NA,89.34,10.66,100,285,34,8,25,1,NA,23.53,73.53,2.94,NA,33,1,97.06,8,33,244,2.81,11.58,85.61,31.44,12.65
evergreen lawn,265,118,147,131,16,44.53,55.47,89.12,118,147,54,12,65,16,36.73,8.16,44.22,10.88,66,81,44.9,7,34,77,5.93,28.81,65.25,27.42,13.89
evesham park,296,272,24,24,NA,91.89,8.11,100,272,24,8,16,NA,NA,33.33,66.67,NA,NA,24,NA,100,36,73,163,13.24,26.84,59.93,35.19,15.61
fairfield area,336,228,108,108,NA,67.86,32.14,100,228,108,78,13,17,NA,72.22,12.04,15.74,NA,91,17,84.26,37,81,110,16.23,35.53,48.25,27.16,13.59
fairmont,354,163,191,191,NA,46.05,53.95,100,163,191,130,30,31,NA,68.06,15.71,16.23,NA,160,31,83.77,39,45,79,23.93,27.61,48.47,41.37,24.35
fallstaff,559,260,299,299,NA,46.51,53.49,100,260,299,243,10,46,NA,81.27,3.34,15.38,NA,253,46,84.62,38,72,150,14.62,27.69,57.69,34.43,16.06
federal hill,1031,768,263,244,19,74.49,25.51,92.78,768,263,1,53,190,19,0.38,20.15,72.24,7.22,54,209,20.53,33,159,576,4.3,20.7,75,24.42,9.54
fells point,1397,953,444,388,56,68.22,31.78,87.39,953,444,17,55,316,56,3.83,12.39,71.17,12.61,72,372,16.22,49,183,721,5.14,19.2,75.66,20.97,8.02
forest park,661,173,488,479,9,26.17,73.83,98.16,173,488,430,23,26,9,88.11,4.71,5.33,1.84,453,35,92.83,34,99,40,19.65,57.23,23.12,32.09,18.59
forest park golf course,405,204,201,200,1,50.37,49.63,99.5,204,201,169,30,1,1,84.08,14.93,0.5,0.5,199,2,99,20,56,128,9.8,27.45,62.75,39.95,18.63
four by four,90,21,69,68,1,23.33,76.67,98.55,21,69,38,2,28,1,55.07,2.9,40.58,1.45,40,29,57.97,5,4,12,23.81,19.05,57.14,33.81,16.06
frankford,2644,1461,1183,1160,23,55.26,44.74,98.06,1461,1183,958,84,117,23,80.98,7.1,9.89,1.94,1042,140,88.08,129,498,834,8.83,34.09,57.08,25.54,9.81
franklin square,1094,640,454,370,84,58.5,41.5,81.5,640,454,10,42,318,84,2.2,9.25,70.04,18.5,52,402,11.45,54,207,379,8.44,32.34,59.22,25.41,9.85
franklintown,1016,969,47,47,NA,95.37,4.63,100,969,47,NA,47,NA,NA,NA,100,NA,NA,47,NA,100,54,186,729,5.57,19.2,75.23,35.22,15.94
franklintown road,318,145,173,170,3,45.6,54.4,98.27,145,173,118,24,28,3,68.21,13.87,16.18,1.73,142,31,82.08,14,56,75,9.66,38.62,51.72,35.1,17.35
garwyn oaks,419,186,233,233,NA,44.39,55.61,100,186,233,192,29,12,NA,82.4,12.45,5.15,NA,221,12,94.85,11,84,91,5.91,45.16,48.92,31.46,16.6
gay street,608,328,280,201,79,53.95,46.05,71.79,328,280,16,35,150,79,5.71,12.5,53.57,28.21,51,229,18.21,43,154,131,13.11,46.95,39.94,22.33,11.56
glen,1394,662,732,727,5,47.49,52.51,99.32,662,732,652,39,36,5,89.07,5.33,4.92,0.68,691,41,94.4,119,204,339,17.98,30.82,51.21,40.98,19.3
glen oaks,1078,741,337,337,NA,68.74,31.26,100,741,337,277,56,4,NA,82.2,16.62,1.19,NA,333,4,98.81,49,172,520,6.61,23.21,70.18,29.65,15
glenham-belhar,1049,393,656,647,9,37.46,62.54,98.63,393,656,544,32,71,9,82.93,4.88,10.82,1.37,576,80,87.8,40,210,143,10.18,53.44,36.39,32.74,16.41
graceland park,731,362,369,369,NA,49.52,50.48,100,362,369,295,34,40,NA,79.95,9.21,10.84,NA,329,40,89.16,35,122,205,9.67,33.7,56.63,20.83,8.08
greektown,839,567,272,263,9,67.58,32.42,96.69,567,272,70,31,162,9,25.74,11.4,59.56,3.31,101,171,37.13,19,122,426,3.35,21.52,75.13,17.17,5.49
greenmount cemetery,59,49,10,10,NA,83.05,16.95,100,49,10,3,4,3,NA,30,40,30,NA,7,3,70,5,6,38,10.2,12.24,77.55,14.45,3.95
greenmount west,522,345,177,164,13,66.09,33.91,92.66,345,177,3,22,139,13,1.69,12.43,78.53,7.34,25,152,14.12,16,65,264,4.64,18.84,76.52,24.09,7.37
greenspring,611,191,420,419,1,31.26,68.74,99.76,191,420,343,32,44,1,81.67,7.62,10.48,0.24,375,45,89.29,51,84,56,26.7,43.98,29.32,32.43,17.24
grove park,634,213,421,421,NA,33.6,66.4,100,213,421,400,18,3,NA,95.01,4.28,0.71,NA,418,3,99.29,40,83,90,18.78,38.97,42.25,35.87,15.77
guilford,2559,2147,412,411,1,83.9,16.1,99.76,2147,412,274,127,10,1,66.5,30.83,2.43,0.24,401,11,97.33,102,471,1574,4.75,21.94,73.31,31.16,13.64
gwynns falls,385,222,163,161,2,57.66,42.34,98.77,222,163,95,13,53,2,58.28,7.98,32.52,1.23,108,55,66.26,6,43,173,2.7,19.37,77.93,15.11,5.34
gwynns falls/leakin park,396,344,52,52,NA,86.87,13.13,100,344,52,NA,52,NA,NA,NA,100,NA,NA,52,NA,100,30,103,211,8.72,29.94,61.34,33.92,11.79
hamilton hills,2622,1235,1387,1386,1,47.1,52.9,99.93,1235,1387,1199,120,67,1,86.45,8.65,4.83,0.07,1319,68,95.1,113,320,802,9.15,25.91,64.94,26.64,11.61
