nbrdesc,combined_ht_all,avg_ht_all,combined_diam_all,avg_diam_all,combined_ht_filled,avg_ht_filled,combined_diam_filled,avg_diam_filled
callaway-garrison,8005,10.64,5004.9,6.66,8005,10.64,5004.9,6.66
cameron village,3501,10.45,2295.3,6.85,3501,10.45,2295.3,6.85
canton,62178,15.05,25118.9,6.08,62178,15.05,25118.9,6.08
canton industrial area,3626,8.13,1181.5,2.65,3626,8.13,1181.5,2.65
care,7276,13.38,2315.37,4.26,7276,13.38,2315.37,4.26
carroll - camden industrial area,15688,16.29,5313.23,5.52,15688,16.29,5313.23,5.52
carroll park,25284,25.77,13127.8,13.38,25284,25.77,13127.8,13.38
carroll-south hilton,7822,12,2900.1,4.45,7822,12,2900.1,4.45
carrollton ridge,9366,8.61,2894.9,2.66,9366,8.61,2894.9,2.66
cedarcroft,12105,30.41,6222.9,15.64,12105,30.41,6222.9,15.64
cedmont,6994,13.74,4310.4,8.47,6994,13.74,4310.4,8.47
cedonia,8479,20.24,3019,7.21,8479,20.24,3019,7.21
central forest park,3716,6.71,1813.4,3.27,3716,6.71,1813.4,3.27
central park heights,17709,9.71,9351.7,5.13,17709,9.71,9351.7,5.13
charles north,7441,15.15,2743.8,5.59,7441,15.15,2743.8,5.59
charles village,33118,20.62,11661.1,7.26,33118,20.62,11661.1,7.26
cherry hill,10804,12.73,5397.1,6.36,10804,12.73,5397.1,6.36
cheswolde,31780,31.88,12711.5,12.75,31780,31.88,12711.5,12.75
chinquapin park,4854,13.34,2779.3,7.64,4854,13.34,2779.3,7.64
clifton park,39346,21.81,19155.9,10.62,39346,21.81,19155.9,10.62
coldspring,27980,24.98,12847.5,11.47,27980,24.98,12847.5,11.47
coldstream homestead montebello,19589,9.37,11438.63,5.47,19589,9.37,11438.63,5.47
concerned citizens of forest park,2640,7.93,1609.7,4.83,2640,7.93,1609.7,4.83
coppin heights/ash-co-east,9712,13.49,4446.5,6.18,9712,13.49,4446.5,6.18
cross country,25047,23.61,12129.3,11.43,25047,23.61,12129.3,11.43
cross keys,2520,19.53,1428.6,11.07,2520,19.53,1428.6,11.07
curtis bay,10353,12.94,5413.7,6.77,10353,12.94,5413.7,6.77
curtis bay industrial area,40,0.7,46.7,0.82,40,0.7,46.7,0.82
cylburn,7118,10.35,3587.1,5.21,7118,10.35,3587.1,5.21
darley park,2987,13.52,1349.3,6.11,2987,13.52,1349.3,6.11
dickeyville,1193,29.82,582,14.55,1193,29.82,582,14.55
