nbrdesc,num_spaces_with_live_trees,num_spaces_without_live_trees,num_easy,num_moderate,num_hard,num_not_suitable,perc_of_nontreed_easy,perc_of_nontreed_moderate,perc_of_nontreed_hard,perc_of_nontreed_unsuitable,num_easy_or_moderate,num_hard_or_unsuitable,perc_easy_or_moderate_of_nontreed
shipley hill,292,260,17,17,198,28,6.54,6.54,76.15,10.77,34,226,13.08
south baltimore,461,351,13,34,275,29,3.7,9.69,78.35,8.26,47,304,13.39
south clifton park,114,150,24,6,93,27,16,4,62,18,30,120,20
spring garden industrial area,29,23,4,3,15,1,17.39,13.04,65.22,4.35,7,16,30.43
stadium area,104,30,20,3,5,2,66.67,10,16.67,6.67,23,7,76.67
stonewood-pentwood-winston,61,82,61,17,4,NA,74.39,20.73,4.88,NA,78,4,95.12
taylor heights,15,1,NA,1,NA,NA,NA,100,NA,NA,1,NA,100
ten hills,317,309,268,41,NA,NA,86.73,13.27,NA,NA,309,NA,100
the orchards,360,96,89,7,NA,NA,92.71,7.29,NA,NA,96,NA,100
towanda-grantley,93,174,112,9,44,9,64.37,5.17,25.29,5.17,121,53,69.54
tremont,51,72,57,7,8,NA,79.17,9.72,11.11,NA,64,8,88.89
tuscany-canterbury,348,111,62,16,33,NA,55.86,14.41,29.73,NA,78,33,70.27
union square,465,100,8,32,24,36,8,32,24,36,40,60,40
university of maryland,505,159,15,20,120,4,9.43,12.58,75.47,2.52,35,124,22.01
uplands,381,63,40,16,7,NA,63.49,25.4,11.11,NA,56,7,88.89
upper fells point,710,198,3,32,133,30,1.52,16.16,67.17,15.15,35,163,17.68
upton,776,796,62,51,548,135,7.79,6.41,68.84,16.96,113,683,14.2
violetville,358,345,293,52,NA,NA,84.93,15.07,NA,NA,345,NA,100
wakefield,31,1,1,NA,NA,NA,100,NA,NA,NA,1,NA,100
walbrook,390,482,396,34,40,12,82.16,7.05,8.3,2.49,430,52,89.21
waltherson,561,774,646,54,68,6,83.46,6.98,8.79,0.78,700,74,90.44
washington hill,643,377,19,38,295,25,5.04,10.08,78.25,6.63,57,320,15.12
washington village/pigtown,1065,514,51,100,284,79,9.92,19.46,55.25,15.37,151,363,29.38
waverly,329,237,176,23,25,13,74.26,9.7,10.55,5.49,199,38,83.97
west arlington,257,790,752,18,12,8,95.19,2.28,1.52,1.01,770,20,97.47
west forest park,279,329,275,40,12,2,83.59,12.16,3.65,0.61,315,14,95.74
west hills,254,210,176,27,7,NA,83.81,12.86,3.33,NA,203,7,96.67
westfield,341,613,537,21,48,7,87.6,3.43,7.83,1.14,558,55,91.03
westgate,363,257,209,32,15,1,81.32,12.45,5.84,0.39,241,16,93.77
westport,440,215,88,48,56,23,40.93,22.33,26.05,10.7,136,79,63.26
wilhelm park,71,29,22,5,2,NA,75.86,17.24,6.9,NA,27,2,93.1
wilson park,70,32,8,7,16,1,25,21.88,50,3.12,15,17,46.88
winchester,81,170,94,5,55,16,55.29,2.94,32.35,9.41,99,71,58.24
windsor hills,222,325,292,31,2,NA,89.85,9.54,0.62,NA,323,2,99.38
winston-govans,49,113,110,2,1,NA,97.35,1.77,0.88,NA,112,1,99.12
woodberry,276,67,28,11,27,1,41.79,16.42,40.3,1.49,39,28,58.21
woodbourne heights,285,280,242,34,3,1,86.43,12.14,1.07,0.36,276,4,98.57
woodbourne-mccabe,39,52,33,10,9,NA,63.46,19.23,17.31,NA,43,9,82.69
woodmere,151,365,282,17,60,6,77.26,4.66,16.44,1.64,299,66,81.92
wrenlane,12,14,8,3,3,NA,57.14,21.43,21.43,NA,11,3,78.57
wyman park,508,99,54,14,31,NA,54.55,14.14,31.31,NA,68,31,68.69
wyndhurst,569,127,52,43,31,1,40.94,33.86,24.41,0.79,95,32,74.8
yale heights,172,335,320,15,NA,NA,95.52,4.48,NA,NA,335,NA,100
york-homeland,13,1,NA,NA,1,NA,NA,NA,100,NA,NA,1,NA
NA,4,9,8,1,NA,NA,88.89,11.11,NA,NA,9,NA,100
