nbrdesc,num_easy,num_moderate,num_hard,num_not_suitable,num_has_tree,num_empty_spaces,perc_easy,perc_moderate,perc_hard,perc_not_suitable,stump_count,dead_count,total_at_moderate_diff,stump_perc_of_moderate_diff,dead_perc_of_moderate_diff,tracked_spaces,live_trees,empty_spaces,poor_perc,fair_perc,good_perc,poor_count,fair_count,good_count,combined_ht,avg_ht,combined_diam,avg_diam,perc_trees_to_spaces,absent,stump,dead,poor,fair,good,unknown
tuscany-canterbury,62,16,33,NA,348,111,55.86,14.41,29.73,NA,12,4,16,75,25,459,348,111,5.17,20.11,74.71,18,70,260,10049,28.88,4375,12.57,75.82,95,12,4,18,70,260,NA
union square,8,32,24,36,465,100,8,32,24,36,22,10,32,68.75,31.25,565,465,100,4.52,17.2,78.28,21,80,364,11770,25.31,4115.3,8.85,82.3,68,22,10,21,80,364,NA
university of maryland,15,20,120,4,505,159,9.43,12.58,75.47,2.52,14,6,20,70,30,664,505,159,5.94,26.93,67.13,30,136,339,12235,24.23,4093.4,8.11,76.05,139,14,6,30,136,339,NA
uplands,40,16,7,NA,381,63,63.49,25.4,11.11,NA,11,5,16,68.75,31.25,444,381,63,1.57,12.6,85.83,6,48,327,8112,21.29,2014.36,5.29,85.81,47,11,5,6,48,327,NA
upper fells point,3,32,133,30,710,198,1.52,16.16,67.17,15.15,27,5,32,84.38,15.62,908,710,198,4.23,18.03,77.75,30,128,552,18710,26.35,6491,9.14,78.19,166,27,5,30,128,552,NA
upton,62,51,548,135,776,796,7.79,6.41,68.84,16.96,29,22,51,56.86,43.14,1572,776,796,17.78,60.05,22.16,138,466,172,19319,24.9,8433.6,10.87,49.36,745,29,22,138,466,172,NA
violetville,293,52,NA,NA,358,345,84.93,15.07,NA,NA,33,19,52,63.46,36.54,703,358,345,15.36,26.26,58.38,55,94,209,12790,35.73,5801,16.2,50.92,293,33,19,55,94,209,NA
wakefield,1,NA,NA,NA,31,1,100,NA,NA,NA,NA,NA,NA,NA,NA,32,31,1,3.23,22.58,74.19,1,7,23,981,31.65,371.1,11.97,96.88,1,NA,NA,1,7,23,NA
walbrook,396,34,40,12,390,482,82.16,7.05,8.3,2.49,32,2,34,94.12,5.88,872,390,482,10,25.38,64.62,39,99,252,10103,25.91,5256.3,13.48,44.72,448,32,2,39,99,252,NA
waltherson,646,54,68,6,561,774,83.46,6.98,8.79,0.78,39,15,54,72.22,27.78,1335,561,774,14.26,39.57,46.17,80,222,259,17015,30.33,8603.04333,15.34,42.02,720,39,15,80,222,259,NA
washington hill,19,38,295,25,643,377,5.04,10.08,78.25,6.63,21,17,38,55.26,44.74,1020,643,377,7,33.28,59.72,45,214,384,15796,24.57,6450.85,10.03,63.04,339,21,17,45,214,384,NA
washington village/pigtown,51,100,284,79,1065,514,9.92,19.46,55.25,15.37,51,49,100,51,49,1579,1065,514,3.57,12.21,84.23,38,130,897,21664,20.34,8174.8,7.68,67.45,414,51,49,38,130,897,NA
waverly,176,23,25,13,329,237,74.26,9.7,10.55,5.49,21,2,23,91.3,8.7,566,329,237,9.73,32.83,57.45,32,108,189,9405,28.59,4447.1,13.52,58.13,214,21,2,32,108,189,NA
west arlington,752,18,12,8,257,790,95.19,2.28,1.52,1.01,12,6,18,66.67,33.33,1047,257,790,38.52,33.85,27.63,99,87,71,11919,46.38,5554.7845,21.61,24.55,772,12,6,99,87,71,NA
west forest park,275,40,12,2,279,329,83.59,12.16,3.65,0.61,25,15,40,62.5,37.5,608,279,329,20.43,44.09,35.48,57,123,99,10430,37.38,5081.3,18.21,45.89,289,25,15,57,123,99,NA
west hills,176,27,7,NA,254,210,83.81,12.86,3.33,NA,17,10,27,62.96,37.04,464,254,210,6.3,24.02,69.69,16,61,177,9030,35.55,3977.3,15.66,54.74,183,17,10,16,61,177,NA
westfield,537,21,48,7,341,613,87.6,3.43,7.83,1.14,11,10,21,52.38,47.62,954,341,613,10.26,30.21,59.53,35,103,203,9657,28.32,4410.8,12.93,35.74,592,11,10,35,103,203,NA
westgate,209,32,15,1,363,257,81.32,12.45,5.84,0.39,22,10,32,68.75,31.25,620,363,257,6.89,30.58,62.53,25,111,227,16566,45.64,7073.7,19.49,58.55,225,22,10,25,111,227,NA
westport,88,48,56,23,440,215,40.93,22.33,26.05,10.7,11,37,48,22.92,77.08,655,440,215,8.64,34.09,57.27,38,150,252,8560,19.45,4532.905,10.3,67.18,167,11,37,38,150,252,NA
wilhelm park,22,5,2,NA,71,29,75.86,17.24,6.9,NA,5,NA,5,100,NA,100,71,29,2.82,28.17,69.01,2,20,49,2178,30.68,1080.1,15.21,71,24,5,NA,2,20,49,NA
wilson park,8,7,16,1,70,32,25,21.88,50,3.12,6,1,7,85.71,14.29,102,70,32,15.71,34.29,50,11,24,35,1463,20.9,909.4,12.99,68.63,25,6,1,11,24,35,NA
winchester,94,5,55,16,81,170,55.29,2.94,32.35,9.41,3,2,5,60,40,251,81,170,9.88,32.1,58.02,8,26,47,2982,36.81,1492.7,18.43,32.27,165,3,2,8,26,47,NA
windsor hills,292,31,2,NA,222,325,89.85,9.54,0.62,NA,25,6,31,80.65,19.35,547,222,325,10.81,37.84,51.35,24,84,114,8092,36.45,3929.5,17.7,40.59,294,25,6,24,84,114,NA
winston-govans,110,2,1,NA,49,113,97.35,1.77,0.88,NA,2,NA,2,100,NA,162,49,113,18.37,34.69,46.94,9,17,23,1106,22.57,773.7,15.79,30.25,111,2,NA,9,17,23,NA
woodberry,28,11,27,1,276,67,41.79,16.42,40.3,1.49,7,4,11,63.64,36.36,343,276,67,3.99,13.77,82.25,11,38,227,6775,24.55,2902.6,10.52,80.47,56,7,4,11,38,227,NA
woodbourne heights,242,34,3,1,285,280,86.43,12.14,1.07,0.36,27,7,34,79.41,20.59,565,285,280,4.91,20.35,74.74,14,58,213,6121,21.48,3153.1,11.06,50.44,246,27,7,14,58,213,NA
woodbourne-mccabe,33,10,9,NA,39,52,63.46,19.23,17.31,NA,9,1,10,90,10,91,39,52,17.95,46.15,35.9,7,18,14,880,22.56,637.7,16.35,42.86,42,9,1,7,18,14,NA
woodmere,282,17,60,6,151,365,77.26,4.66,16.44,1.64,16,1,17,94.12,5.88,516,151,365,17.22,50.99,31.79,26,77,48,4959,32.84,2446.5,16.2,29.26,348,16,1,26,77,48,NA
wrenlane,8,3,3,NA,12,14,57.14,21.43,21.43,NA,3,NA,3,100,NA,26,12,14,NA,33.33,66.67,NA,4,8,252,21,167.3,13.94,46.15,11,3,NA,NA,4,8,NA
wyman park,54,14,31,NA,508,99,54.55,14.14,31.31,NA,6,8,14,42.86,57.14,607,508,99,7.48,21.46,71.06,38,109,361,13630,26.83,6215.52,12.24,83.69,85,6,8,38,109,361,NA
wyndhurst,52,43,31,1,569,127,40.94,33.86,24.41,0.79,37,6,43,86.05,13.95,696,569,127,1.23,10.9,87.87,7,62,500,15307,26.9,6594.2,11.59,81.75,84,37,6,7,62,500,NA
yale heights,320,15,NA,NA,172,335,95.52,4.48,NA,NA,11,4,15,73.33,26.67,507,172,335,9.88,34.88,55.23,17,60,95,6441,37.45,3460.9,20.12,33.93,320,11,4,17,60,95,NA
york-homeland,NA,NA,1,NA,13,1,NA,NA,100,NA,NA,NA,NA,NA,NA,14,13,1,7.69,30.77,61.54,1,4,8,243,18.69,96.2,7.4,92.86,1,NA,NA,1,4,8,NA
NA,8,1,NA,NA,4,9,88.89,11.11,NA,NA,1,NA,1,100,NA,13,4,9,25,50,25,1,2,1,150,37.5,77.1,19.27,30.77,8,1,NA,1,2,1,NA
