nbrdesc,num_easy,num_moderate,num_hard,num_not_suitable,num_has_tree,num_empty_spaces,perc_easy,perc_moderate,perc_hard,perc_not_suitable,stump_count,dead_count,total_at_moderate_diff,stump_perc_of_moderate_diff,dead_perc_of_moderate_diff,tracked_spaces,live_trees,empty_spaces,poor_perc,fair_perc,good_perc,poor_count,fair_count,good_count,combined_ht,avg_ht,combined_diam,avg_diam,perc_trees_to_spaces,absent,stump,dead,poor,fair,good,unknown
cross keys,2,5,NA,NA,122,7,28.57,71.43,NA,NA,2,3,5,40,60,129,122,7,9.84,37.7,52.46,12,46,64,2442,20.02,1355.7,11.11,94.57,2,2,3,12,46,64,NA
curtis bay,198,28,188,8,378,422,46.92,6.64,44.55,1.9,22,6,28,78.57,21.43,800,378,422,9.79,30.95,59.26,37,117,224,10249,27.11,4971.4,13.15,47.25,394,22,6,37,117,224,NA
curtis bay industrial area,NA,1,55,NA,1,56,NA,1.79,98.21,NA,1,NA,1,100,NA,57,1,56,NA,100,NA,NA,1,NA,40,40,29.7,29.7,1.75,55,1,NA,NA,1,NA,NA
cylburn,464,15,14,NA,195,493,94.12,3.04,2.84,NA,11,4,15,73.33,26.67,688,195,493,13.85,33.33,52.82,27,65,103,6980,35.79,3228,16.55,28.34,478,11,4,27,65,103,NA
darley park,19,10,47,16,129,92,20.65,10.87,51.09,17.39,9,1,10,90,10,221,129,92,4.65,37.98,57.36,6,49,74,2975,23.06,1216.3,9.43,58.37,82,9,1,6,49,74,NA
dickeyville,NA,9,NA,NA,31,9,NA,100,NA,NA,3,6,9,33.33,66.67,40,31,9,6.45,35.48,58.06,2,11,18,995,32.1,427.3,13.78,77.5,NA,3,6,2,11,18,NA
dolfield,348,17,46,NA,182,411,84.67,4.14,11.19,NA,16,1,17,94.12,5.88,593,182,411,25.27,31.87,42.86,46,58,78,6481,35.61,3153.9,17.33,30.69,394,16,1,46,58,78,NA
dorchester,402,20,3,1,140,426,94.37,4.69,0.7,0.23,18,2,20,90,10,566,140,426,27.14,43.57,29.29,38,61,41,6019,42.99,2877.95,20.56,24.73,406,18,2,38,61,41,NA
downtown,30,96,789,60,936,975,3.08,9.85,80.92,6.15,40,56,96,41.67,58.33,1911,936,975,8.01,17.09,74.89,75,160,701,20732,22.15,6378.6,6.81,48.98,879,40,56,75,160,701,NA
downtown west,1,9,197,8,123,215,0.47,4.19,91.63,3.72,1,8,9,11.11,88.89,338,123,215,15.45,21.95,62.6,19,27,77,2597,21.11,791.3,6.43,36.39,206,1,8,19,27,77,NA
druid heights,3,30,125,41,429,199,1.51,15.08,62.81,20.6,18,12,30,60,40,628,429,199,15.62,69.93,14.45,67,300,62,8655,20.17,3522.4,8.21,68.31,169,18,12,67,300,62,NA
druid hill park,14,265,NA,2,3374,281,4.98,94.31,NA,0.71,137,128,265,51.7,48.3,3655,3374,281,6.49,23.06,70.45,219,778,2377,116966,34.67,59145.425,17.53,92.31,16,137,128,219,778,2377,NA
dunbar-broadway,39,28,101,10,536,178,21.91,15.73,56.74,5.62,8,20,28,28.57,71.43,714,536,178,4.85,23.51,71.64,26,126,384,9914,18.5,3803.69,7.1,75.07,150,8,20,26,126,384,NA
east arlington,152,22,NA,4,154,178,85.39,12.36,NA,2.25,21,1,22,95.45,4.55,332,154,178,11.04,24.68,64.29,17,38,99,6690,43.44,3481.2,22.61,46.39,156,21,1,17,38,99,NA
east baltimore midway,200,44,339,65,566,648,30.86,6.79,52.31,10.03,36,8,44,81.82,18.18,1214,566,648,9.19,34.28,56.54,52,194,320,11719,20.7,4747.4,8.39,46.62,604,36,8,52,194,320,NA
easterwood,88,12,140,13,182,253,34.78,4.74,55.34,5.14,7,5,12,58.33,41.67,435,182,253,14.29,21.98,63.74,26,40,116,3226,17.73,1522,8.36,41.84,241,7,5,26,40,116,NA
eastwood,93,4,NA,NA,19,97,95.88,4.12,NA,NA,4,NA,4,100,NA,116,19,97,42.11,36.84,21.05,8,7,4,286,15.05,121.7,6.41,16.38,93,4,NA,8,7,4,NA
edgewood,89,30,29,10,190,158,56.33,18.99,18.35,6.33,28,2,30,93.33,6.67,348,190,158,10,38.42,51.58,19,73,98,6007,31.62,3118.5,16.41,54.6,128,28,2,19,73,98,NA
edmondson village,109,18,5,15,281,147,74.15,12.24,3.4,10.2,15,3,18,83.33,16.67,428,281,147,3.91,33.1,62.99,11,93,177,8051,28.65,4028.9,14.34,65.65,129,15,3,11,93,177,NA
ednor gardens-lakeside,513,67,7,NA,1069,587,87.39,11.41,1.19,NA,46,21,67,68.66,31.34,1656,1069,587,5.99,25.82,68.19,64,276,729,27865,26.07,12344.2,11.55,64.55,520,46,21,64,276,729,NA
ellwood park/monument,26,50,106,25,860,207,12.56,24.15,51.21,12.08,32,18,50,64,36,1067,860,207,5,19.42,75.58,43,167,650,13712,15.94,4387.55,5.1,80.6,157,32,18,43,167,650,NA
evergreen,8,25,1,NA,285,34,23.53,73.53,2.94,NA,20,5,25,80,20,319,285,34,2.81,11.58,85.61,8,33,244,8960,31.44,3604.6,12.65,89.34,9,20,5,8,33,244,NA
evergreen lawn,54,12,65,16,118,147,36.73,8.16,44.22,10.88,10,2,12,83.33,16.67,265,118,147,5.93,28.81,65.25,7,34,77,3235,27.42,1639.5,13.89,44.53,135,10,2,7,34,77,NA
evesham park,8,16,NA,NA,272,24,33.33,66.67,NA,NA,11,5,16,68.75,31.25,296,272,24,13.24,26.84,59.93,36,73,163,9571,35.19,4246.7,15.61,91.89,8,11,5,36,73,163,NA
fairfield area,78,13,17,NA,228,108,72.22,12.04,15.74,NA,9,4,13,69.23,30.77,336,228,108,16.23,35.53,48.25,37,81,110,6192,27.16,3098,13.59,67.86,95,9,4,37,81,110,NA
fairmont,130,30,31,NA,163,191,68.06,15.71,16.23,NA,8,22,30,26.67,73.33,354,163,191,23.93,27.61,48.47,39,45,79,6743,41.37,3969.1,24.35,46.05,161,8,22,39,45,79,NA
fallstaff,243,10,46,NA,260,299,81.27,3.34,15.38,NA,7,3,10,70,30,559,260,299,14.62,27.69,57.69,38,72,150,8952,34.43,4174.6,16.06,46.51,289,7,3,38,72,150,NA
federal hill,1,53,190,19,768,263,0.38,20.15,72.24,7.22,35,18,53,66.04,33.96,1031,768,263,4.3,20.7,75,33,159,576,18755,24.42,7324.9,9.54,74.49,210,35,18,33,159,576,NA
