nbrdesc,num_easy,num_moderate,num_hard,num_not_suitable,num_has_tree,num_empty_spaces,perc_easy,perc_moderate,perc_hard,perc_not_suitable
little italy,3,4,166,6,132,179,1.68,2.23,92.74,3.35
loch raven,504,53,6,1,401,564,89.36,9.4,1.06,0.18
locust point,4,15,196,13,513,228,1.75,6.58,85.96,5.7
locust point industrial area,19,15,53,1,303,88,21.59,17.05,60.23,1.14
lower edmondson village,19,2,12,3,26,36,52.78,5.56,33.33,8.33
lower herring run park,2,34,NA,NA,444,36,5.56,94.44,NA,NA
loyola/notre dame,NA,4,NA,NA,35,4,NA,100,NA,NA
lucille park,74,17,41,1,140,133,55.64,12.78,30.83,0.75
madison park,27,22,186,29,677,264,10.23,8.33,70.45,10.98
madison-eastend,28,17,56,7,451,108,25.93,15.74,51.85,6.48
mayfield,148,34,10,1,410,193,76.68,17.62,5.18,0.52
mcelderry park,8,40,118,25,751,191,4.19,20.94,61.78,13.09
medfield,100,11,17,15,241,143,69.93,7.69,11.89,10.49
medford,117,16,13,NA,120,146,80.14,10.96,8.9,NA
mid-govans,132,8,17,2,358,159,83.02,5.03,10.69,1.26
mid-town belvedere,19,74,76,9,1040,178,10.67,41.57,42.7,5.06
middle branch/reedbird parks,25,98,NA,NA,1373,123,20.33,79.67,NA,NA
middle east,56,37,254,28,615,375,14.93,9.87,67.73,7.47
midtown-edmondson,49,19,192,81,265,341,14.37,5.57,56.3,23.75
millhill,36,13,78,20,147,147,24.49,8.84,53.06,13.61
milton-montford,NA,6,89,7,289,102,NA,5.88,87.25,6.86
mondawmin,222,36,195,33,544,486,45.68,7.41,40.12,6.79
montebello,198,16,4,NA,258,218,90.83,7.34,1.83,NA
moravia-walther,79,20,NA,NA,211,99,79.8,20.2,NA,NA
morgan park,51,4,NA,NA,111,55,92.73,7.27,NA,NA
morgan state university,92,19,6,NA,194,117,78.63,16.24,5.13,NA
morrell park,514,55,116,12,547,697,73.74,7.89,16.64,1.72
mosher,97,11,128,24,186,260,37.31,4.23,49.23,9.23
mount holly,278,10,12,4,99,304,91.45,3.29,3.95,1.32
mount vernon,6,59,224,32,1057,321,1.87,18.38,69.78,9.97
