nbrdesc,combined_ht,avg_ht,combined_diam,avg_diam,stump,dead,poor,fair,good,total_possible,total_trees,total_absent,potential_wellpit
moravia-walther,5409,17.45,2885.3,9.31,8.23,0.43,2.16,16.02,73.16,310,231,79,NA
morgan park,3896,23.47,2023.9,12.19,3.48,NA,13.91,21.74,60.87,166,115,51,NA
morgan state university,4844,15.58,2229.7,7.17,5.63,3.29,3.29,15.96,71.83,311,213,98,6
morrell park,15297,12.3,6881.9,5.53,5.81,3.32,9.3,18.94,62.62,1244,602,642,116
mosher,6270,14.06,3325,7.46,2.03,3.55,4.06,29.95,60.41,446,197,249,128
mount holly,3330,8.26,2245.3,5.57,3.67,5.5,16.51,30.28,44.04,403,109,294,12
mount vernon,25306,18.36,8686.99,6.3,2.24,3.05,8.06,9.59,77.06,1378,1116,262,225
mount washington,64321,28.74,26821.7,11.98,3.26,2.86,12.24,28.95,52.69,2238,1748,490,3
mount winans,3955,27.85,1609.2,11.33,5.56,13.49,7.14,18.25,55.56,142,126,16,1
mt pleasant park,4265,18.3,1962.2,8.42,8.85,6.19,7.52,24.78,52.65,233,226,7,NA
new northwood,9670,14.12,5607.5,8.19,3.17,2.05,6.9,22.39,65.49,685,536,149,6
new southwest/mount clare,8030,12.37,2801.7,4.32,2.84,3.55,4.03,17.06,72.51,649,422,227,166
north harford road,16440,11.74,8209.7,5.86,5.4,2.34,10.07,25.18,57.01,1400,556,844,25
north roland park/poplar hill,12599,35.49,5474.3,15.42,3.17,0.86,6.34,17.58,72.05,355,347,8,NA
northwest community action,4897,11.03,2584.9,5.82,7.65,1.64,7.1,16.39,67.21,444,183,261,113
o'donnell heights,758,9.24,118.7,1.45,NA,1.89,5.66,20.75,71.7,82,53,29,NA
oakenshawe,12040,23.24,5294.8,10.22,2.95,3.16,7.37,33.68,52.84,518,475,43,13
oaklee,389,6.38,239.5,3.93,15,5,10,25,45,61,20,41,6
old goucher,7025,19.04,2344.7,6.35,1.12,1.68,4.75,30.45,62.01,369,358,11,5
oldtown,8227,11.77,4355.9,6.23,5.9,2.41,11.26,30.83,49.6,699,373,326,245
oliver,18467,12.1,8718.7,5.71,7.32,1.64,9.44,22.83,58.77,1526,1038,488,325
orangeville,3908,14.06,1906.8,6.86,2.79,2.79,14.53,26.26,53.63,278,179,99,35
orangeville industrial area,3038,14.33,1155.3,5.45,7.18,2.21,4.42,16.02,70.17,212,181,31,19
orchard ridge,5397,12.58,1555.9,3.63,1.38,2.76,7.59,26.55,61.72,429,290,139,5
original northwood,11121,28.3,5304.8,13.5,5.37,2.82,3.95,15.54,72.32,393,354,39,NA
otterbein,9989,19.21,3795.8,7.3,3.24,3.49,4.24,17.96,71.07,520,401,119,92
overlea,8035,27.8,3828.1,13.25,7.76,0.91,8.68,26.94,55.71,289,219,70,1
panway/braddish avenue,4439,14.85,2731.3,9.13,6.85,0.68,6.85,30.14,55.48,299,146,153,3
park circle,11663,14.1,5963.6,7.21,6.19,1.49,13.37,25.25,53.71,827,404,423,71
parklane,8358,30.28,3387.1,12.27,4.29,11.9,11.43,30.95,41.43,276,210,66,5
parkside,508,2.34,207.5,0.96,4.65,6.98,6.98,41.86,39.53,217,43,174,3
parkview/woodbrook,10686,15.88,5307.5,7.89,3.03,1.82,6.67,21.21,67.27,673,495,178,100
patterson park,47470,23.49,26134.3,12.93,2.34,2.23,5.09,12.66,77.69,2021,1927,94,25
patterson park neighborhood,18074,13.7,6246.8,4.74,0.98,1.42,2.31,15.72,79.57,1319,1126,193,144
patterson place,4755,17.35,1597,5.83,0.82,1.22,5.31,26.53,66.12,274,245,29,17
pen lucy,2528,9.13,1346.41,4.86,5.69,2.44,6.5,15.45,69.92,277,123,154,35
penn north,5853,11.75,2768.2,5.56,6.34,0.7,6.69,23.59,62.68,498,284,214,172
penn-fallsway,2308,5.53,1325.295,3.18,6.25,2.34,8.59,19.53,63.28,417,128,289,260
penrose/fayette street outreach,8181,10.48,3373.6,4.32,3.6,3,6.31,34.53,52.55,781,333,448,308
perkins homes,2774,14.45,1217.5,6.34,4.58,5.88,15.03,26.8,47.71,192,153,39,11
perring loch,9985,11.41,6083.1,6.95,5.92,1.78,9.17,24.26,58.88,875,338,537,NA
pimlico good neighbors,4973,18.49,2168.3,8.06,2.05,1.54,11.79,20.51,64.1,269,195,74,12
pleasant view gardens,1175,7.63,518.2,3.36,8.11,1.35,8.11,13.51,68.92,154,74,80,54
poppleton,16427,15.44,5631.5,5.29,1.25,1.56,5.95,20.97,70.27,1064,639,425,359
port covington,2361,12.43,1151.6,6.06,4.95,1.1,1.65,20.33,71.98,190,182,8,4
pulaski industrial area,12161,11.45,5428.7,5.11,1.95,2.66,9.57,40.6,45.21,1062,564,498,120
purnell,249,31.12,70,8.75,NA,NA,NA,42.86,57.14,8,7,1,NA
radnor-winston,5296,21.18,2932.5,11.73,5.77,2.4,11.54,34.62,45.67,250,208,42,NA
ramblewood,8131,12.21,5406.8,8.12,10.54,0.57,4.84,22.79,61.25,666,351,315,3
reisterstown station,5683,17.98,2564.7,8.12,5.95,1.19,14.29,17.26,61.31,316,168,148,15
remington,19750,18.46,7162.3,6.69,2.85,1.28,7.85,17.55,70.47,1070,701,369,255
reservoir hill,32941,19.37,14646.8,8.61,3.46,1.57,8.36,19.46,67.15,1701,1531,170,99
richnor springs,197,11.59,150.4,8.85,NA,NA,12.5,37.5,50,17,8,9,NA
ridgely's delight,11294,23.73,4978.85,10.46,3.71,0.46,3.25,14.15,78.42,476,431,45,33
riverside,35346,16.61,15275.15,7.18,2.65,2.21,5.68,27.84,61.62,2128,1584,544,454
rognel heights,8809,15.79,5316.6,9.53,9.23,2.15,7.08,29.85,51.69,558,325,233,7
roland park,104267,30.85,45841.93,13.56,3.86,3.19,4.22,17.06,71.67,3380,3131,249,13
rosebank,3000,20.55,1680.8,11.51,2.63,0.88,7.02,32.46,57.02,146,114,32,27
rosemont,11558,16.12,5927.8,8.27,6.14,2.73,4.78,29.69,56.66,717,293,424,45
rosemont east,10993,25.57,5260.7,12.23,4.83,5.58,10.78,36.43,42.38,430,269,161,4
rosemont homeowners/tenants,1655,5.91,855.5,3.06,5.8,NA,11.59,30.43,52.17,280,69,211,140
sabina-mattfeldt,5435,28.16,2217.63,11.49,1.1,3.87,7.18,27.62,60.22,193,181,12,NA
saint agnes,2373,36.51,1033.8,15.9,8.62,17.24,13.79,15.52,44.83,65,58,7,4
saint helena,678,9.55,369.6,5.21,8,8,24,24,36,71,25,46,NA
saint josephs,3454,7.73,1838.6,4.11,6.35,2.38,7.14,48.41,35.71,447,126,321,56
