objectid,nsa_name,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,acres,09-63_mean,09-127_mean,17-127_mean,17-63_mean,change_percent_127,change_percent_point_127,change_percent_63,change_percent_point_63
175,Oldtown,80.00544673587913,79.97662544250488,79.67716560363776,79.89884567260737,97.72194386652596,97.7,96.22839508056644,97.06940536499023,91.36975115753326,91.33899154663082,90.56836929321284,91.25094985961918,107.12344997,0.213736547726727,0.112320713270448,0.05244771380577,0.127965037934026,-0.533053946341265,-0.059872999464678,-0.4012954766274424,-0.08577150979270101
176,Oliver,79.89111120790179,79.87681980133053,79.21334686279297,79.63813323974605,97.04054020014703,97.14707698822016,95.39846038818357,96.22765350341798,90.80353573704846,90.95888862609863,88.98924255371097,89.46896057128905,168.27517967,0.217492534068591,0.115838351017027,0.057581317323752,0.151551430094938,-0.5029166349641134,-0.058257033693275,-0.30318789679859565,-0.06594110397365302
177,Orangeville,79.89359928348532,79.93005714416506,78.9114151000976,79.22668495178229,95.69711579494286,95.5505180358887,94.35952453613288,94.79123916625977,90.13386978863349,89.99454307556147,89.23830261230461,89.51103134155275,236.49010331,0.218110630434396,0.167844783345336,0.132093654266044,0.17870547570794099,-0.21300113334910772,-0.03575112907929201,-0.18066590632457694,-0.039405154726455005
178,Orangeville Industrial Area,79.89597505006734,79.92078742980951,79.25367698669426,79.59261207580573,95.63919424110989,95.40686492919914,94.00185089111335,95.00035018920889,90.08746183470109,90.03149490356438,89.07018089294425,89.68028259277347,285.03725121,0.161995636247589,0.115733096529811,0.115233589099638,0.168235143122754,-0.004316029253086869,-4.995074301729907e-4,0.038516512047452545,0.006239506875165002
45,Orchard Ridge,78.58048945123821,78.8299180030823,75.79960975646978,77.17377967834477,94.95665335452387,95.17573318481448,91.43094711303716,93.95180816650395,89.33552889323889,89.32774677276615,87.16599273681643,88.81514015197749,177.65411024,0.283343420640718,0.240026435702111,0.227619743295419,0.269823646039862,-0.05168885823097221,-0.012406692406691983,-0.047715152765093534,-0.013519774600856016
179,Original Northwood,77.25341208723667,77.22597503662107,76.64278297424323,76.85226135253905,94.04632241521347,94.06419830322261,92.87114486694333,93.40497055053717,88.66628528642813,88.80554084777833,87.95728302001952,88.10644989013664,110.35440313,0.683411468774569,0.599856197936149,0.543733074698676,0.641346005236904,-0.09356096249495932,-0.05612312323747293,-0.06155217677732712,-0.04206546353766505
180,Otterbein,80.43450306230376,80.24947948455818,79.72419052124025,79.8685165405274,94.95448091543582,94.87845687866216,94.40443115234385,94.64046554565428,90.21730511937437,89.96460189819332,89.23676109313965,89.72186584472654,65.61085855,0.273958360800238,0.159377107103977,0.12765989505445,0.182166790346215,-0.1990073268730799,-0.031717212049527016,-0.33505664943350494,-0.091791570454023
181,Overlea,77.00016558384544,77.08524360656739,75.71020851135248,76.20700340271003,93.7507534072839,93.73460845947261,89.35102920532226,93.55198135375977,87.76275134081055,87.74422378540035,84.48023033142098,87.31721611022954,194.75417662,0.412300397143209,0.32482354479189,0.313369980339571,0.408095426062698,-0.03526088128758395,-0.011453564452319043,-0.010198804341802339,-0.0042049710805109886
182,Panway/Braddish Avenue,77.72492792703159,77.55057811737069,76.96257781982413,77.30791244506833,94.77953552778118,94.51690368652346,93.50086059570307,94.12288589477535,89.05708912778658,89.0802162170411,87.86494293212894,88.92225685119632,51.93476035,0.214303391427674,0.162775202505259,0.140335430567586,0.230965457504831,-0.13785743523770475,-0.02243977193767302,0.077749894512427,0.016662066077157006
183,Park Circle,77.10886533856879,77.07540054321294,76.05360679626465,76.41555137634273,94.54260491219753,94.64856967926022,90.79199600219727,93.28817901611336,89.0256878830534,88.98508491516114,86.36427917480461,87.62850341796884,198.75505186,0.332804809196569,0.266282895964065,0.23878347423165,0.342012321452111,-0.10327145359019256,-0.027499421732415014,0.02766640385326778,0.009207512255542005
