nsa_name,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,OBJECTID,NBRDESC,ACRES,COLOR_2,09-63_mean,09-127_mean,1718-63_mean,17-127_mean,change_percent_127,change_percent_point_127,change_percent_63,change_percent_point_63
Glen,76.71930479973969,76.62709054946895,74.70027313232414,75.62895088195796,94.26163446506774,94.29323234558099,92.14341735839847,93.28786315917962,88.34234458068718,88.317578792572,85.86743621826164,87.21279792785643,87,GLEN,478.2346183,2,0.290343703421943,0.168740994478336,0.470879024066955,0.318915661372846,0.8899714462319964,0.15017466689451,0.6217986424959538,0.180535320645012
Glen Oaks,76.86830256543311,76.80033721923827,75.65991172790523,75.86427803039547,93.86675708771189,93.75719738006597,91.96523284912107,93.61341552734385,88.32527966048642,88.18822507858269,87.14895362853999,87.62738075256344,88,GLEN OAKS,172.32365102,2,0.401859573778346,0.309499117118435,0.39256142227969,0.297280270666488,-0.03947942264168476,-0.012218846451946985,-0.02313781257276858,-0.009298151498656038
Glenham-Belhar,77.47401903486684,77.479920578003,75.54787864685059,75.8303062438964,94.17337096664968,93.91177673339845,92.58979187011712,93.56940155029298,88.46680815559989,88.31065483093262,86.94400367736824,87.57922973632807,89,GLENHAM-BELHAR,479.64119598,3,0.412016654238003,0.332394698637966,0.478325868643348,0.33961695667363,0.02172795795257333,0.007222258035664009,0.16093818956901004,0.066309214405344985
Graceland Park,80.10519294557949,80.16084384918216,79.31230964660642,79.43875541687012,95.04567063374061,95.08136749267577,93.60529937744144,94.19643249511712,89.36735004097312,89.33890647888185,88.46204643249513,89.08146247863776,90,GRACELAND PARK,200.02393823,2,0.347228092028679,0.199886063967297,0.196067361745063,0.103920537555766,-0.4801011361514015,-0.095965526411531,-0.4353355438509019,-0.15116073028361598
Greektown,80.623514043028507,80.57210845947269,79.49630661010735,79.87838706970214,96.09362813702315,96.18989658355706,93.5976020812988,94.56490020751951,90.77465545604717,90.9134979248046,89.00475730896002,89.23093833923349,91,GREEKTOWN,143.64406819,5,0.10124639272298,0.040583909952729,0.08770521305112,0.052042543938715,0.2823442590753994,0.011458633985985997,-0.13374481112537004,-0.013541179671859999
Greenmount Cemetery,79.45138453432995,79.4422744750976,78.98687744140616,79.37311897277834,95.77039159726753,95.70133972167963,94.88670349121097,95.40810775756833,89.63686545171502,89.30295543670647,88.39640655517586,89.00836906433108,92,GREENMOUNT CEMETERY,68.4133596,3,0.572156344165276,0.287183767261376,0.204629141872338,0.047879556466036,-0.8332790292340613,-0.23930421079534,-0.642354499851132,-0.36752720229293806
Greenmount West,80.10026206693198,80.0499076843262,79.78678512573237,79.95756759643561,97.35832229759107,97.22688064575188,96.93401260375977,97.18630676269538,91.18923839363731,91.19579505920402,90.5526313781738,90.81639938354486,93,GREENMOUNT WEST,64.08180302,5,0.161742980903119,0.110650821385729,0.123879625039747,0.078935492784473,-0.2866253336764334,-0.031715328601256004,-0.23409582073951907,-0.037863355863372
Greenspring,76.95091267473629,77.03945550918581,75.60659027099607,76.14370841979974,94.53220774971061,94.51853446960445,93.34394836425787,94.0093559265137,88.6869027905708,88.73166894912725,87.29910926818843,87.86598663330085,94,GREENSPRING,111.26777944,3,0.229728288877437,0.159423702308389,0.261482236750035,0.150015793998281,-0.059011979861748345,-0.009407908310108015,0.13822393414308312,0.031753947872598026
Grove Park,76.06618709713888,76.17536277771002,74.95749053955086,75.57757263183596,93.4876904117632,93.49913368225094,87.67112693786618,93.20891265869145,87.77056456645467,87.74900798797616,83.34546279907227,87.69521446228023,95,GROVE PARK,219.71391841,5,0.517480912681494,0.372842517107435,0.660075422612043,0.534218798470489,0.4328269281492735,0.16137628136305404,0.27555511021971735,0.142594509930549
Guilford,76.19496839766623,76.17652578353885,74.64780311584478,75.04105529785153,93.68161813289822,93.67404632568358,88.24582862853998,93.3509658813476,87.62570379983025,87.67870750427252,83.60567054748536,86.57969703674324,96,GUILFORD,353.74396018,4,0.66420772759511,0.552895140468379,0.671228169647562,0.523757908381381,-0.05269938177122454,-0.029137232086997922,0.01056964826029779,0.007020442052452003
Gwynns Falls,78.19357566018253,78.1189643859863,77.32878303527835,78.11738510131832,94.98300691647526,94.9193981170655,92.84078140258785,94.8465141296387,89.34361198044337,89.22188920974736,87.74785957336431,89.01417121887201,97,GWYNNS FALLS,114.39841901,5,0.329814630773884,0.231469558829884,0.310337183870677,0.202408322885134,-0.1255510058932122,-0.02906123594474999,-0.05905573945432538,-0.01947744690320702
Gwynns Falls/Leakin Park,75.11205513246135,74.84511070251465,73.58107872009273,73.99805107116704,90.74510575474059,89.32429466247561,87.03641586303716,89.10212020874025,84.65663948186823,83.62916755676275,81.18251571655274,82.96722068786619,98,GWYNNS FALLS/LEAKIN PARK,477.04341841,2,0.89042792185991,0.81321992132936,0.914998922832866,0.888180165762499,0.09217708822307555,0.07496024443313898,0.027594598473094235,0.024571000972955948
Hamilton Hills,77.33722608107641,77.39159049987799,75.98132019042961,76.45056343078622,93.95792153893177,93.85159912109384,91.39818725585943,92.98105621337895,88.2718605533876,88.30414886474605,86.0359458923339,87.04153480529786,101,HAMILTON HILLS,730.83457358,1,0.348353008303702,0.2715873089423,0.383034310782954,0.274171879014279,0.009516534782293862,0.0025845700719789866,0.09955792444030238,0.034681302479251996
Hampden,77.69923337999519,77.61544895172119,75.32729721069333,76.58917312622071,95.43894467834227,95.49971141815183,91.89842224121097,93.75153427124025,89.63495313738086,89.86410102844238,87.2835258483887,88.1465225219726,99,HAMPDEN,393.24916759,5,0.227104537200747,0.171976419906185,0.256325403301171,0.188012088513333,0.09324341450935908,0.016035668607148,0.1286670291161751,0.029220866100423987
Hanlon-Longwood,77.2323040330923,77.220255279541007,76.18845710754391,76.39883155822749,94.46347101508914,94.57217693328857,90.81580886840823,92.56242218017586,88.5450629875265,88.67123641967765,86.7405815124512,87.60613937377929,100,HANLON-LONGWOOD,278.51625296,2,0.310848706653272,0.246515932995162,0.373411042838946,0.257599151981123,0.044959442788545835,0.011083218985960985,0.2012629772832141,0.06256233618567397
Harlem Park,78.50961093719178,78.51913623809816,77.6540367126464,78.20559158325187,95.24779951096727,95.25427684783932,93.58235855102535,94.9185844421387,91.30742767097632,91.41118202209478,89.21190109252927,89.67462463378904,102,HARLEM PARK,199.79135533,4,0.240633408591841,0.162369096588625,0.204367800222243,0.137770760635017,-0.15149641446814127,-0.024598335953607997,-0.15070895010721988,-0.036265608369598024
Harwood,79.67009271863168,79.73947095870966,79.20339050292961,79.45808448791499,97.00988167835332,96.97936553955077,96.32427139282227,96.97639236450188,90.84730931388191,90.81446647644051,90.3076087951661,90.82599868774417,103,HARWOOD,45.39598585,3,0.217174439815949,0.159416265076642,0.226314685629946,0.168631009900447,0.0578030404825684,0.009214744823804993,0.04208711587672645,0.009140245813997
Hawkins Point,78.35949287558773,78.40801811218262,75.10422668457039,76.51360435485847,95.1633713334653,95.11295661926276,89.98766632080086,94.4266304016113,88.61140278950083,88.60055656433107,83.86507492065428,87.46626968383785,104,HAWKINS POINT,1257.2486021,2,0.206406114437703,0.116368518494125,0.249623452965151,0.181874712692896,0.5629202386217383,0.06550619419877102,0.2093801273532126,0.043217338527448024
Heritage Crossing,79.42412767588374,79.02885894775395,78.51253929138176,79.09076004028321,95.77543861295231,95.51371383666987,94.6956649780274,95.52473449707037,91.24072942483846,91.7778404235839,89.110009765625,91.04499053955087,105,HERITAGE CROSSING,54.5160405,2,0.107864516509274,0.045921304964796,0.174058252300399,0.09868742154483,1.1490552505092209,0.052766116580033995,0.6136748018096737,0.066193735791125
Herring Run Park,76.49760137173628,76.48880014419558,75.1430255889893,77.35914649963382,92.73786475918752,93.2701631546021,87.39584732055668,95.11504058837895,86.75379762655709,86.87120294570917,83.39853363037106,87.51801185607903,106,HERRING RUN PARK,154.10730513,3,0.6485305180359,0.605372354844246,0.651107330891974,0.60640585464326,0.0017072134046820162,0.001033499799014015,0.003973310097847064,0.002576812856074029
Highlandtown,80.3883363846262,80.45356941223142,79.14694480896003,79.92599563598631,96.40392730319131,96.35993576049813,94.75861663818355,95.70072860717774,91.87745419787214,91.92557907104487,90.93573837280275,91.60999679565428,107,HIGHLANDTOWN,90.94920074,1,0.047491575171214,0.020195129905425,0.047219295130134,0.026810532835124,0.32757417063813526,0.006615402929698998,-0.005733228264137193,-2.7228004108000026e-4
Hillen,77.44695429269125,77.42009658813475,76.96641273498537,77.06784057617192,94.61437701192617,94.60448017120365,93.6975776672363,94.38843917846678,89.22635623501644,89.22134933471679,88.18373527526859,88.5782062530518,108,HILLEN,107.97305014,5,0.25834357752276,0.193007396419227,0.237941279489029,0.162217780982796,-0.15952557263429218,-0.030789615436431023,-0.07897350586133138,-0.020402298033731003
Hoes Heights,77.4251606738188,77.229633140564,76.41976394653322,76.73393516540523,94.74176728445602,94.53607482910154,93.14398345947261,93.90524673461918,89.25298711485212,88.9776691436768,87.64359931945796,88.35749435424812,109,HOES HEIGHTS,49.61810388,2,0.307237858032379,0.233006226650062,0.33969924946871,0.253469750091911,0.08782393387530334,0.020463523441848985,0.10565557136812857,0.03246139143633098
Holabird Industrial Park,79.95260221817614,79.93437271118168,78.82419738769539,79.02226371765127,94.71256470601674,95.03005790710444,91.5196479797363,93.06246490478512,89.48779324347782,89.41884574890136,87.20385780334479,88.57858390808107,110,HOLABIRD INDUSTRIAL PARK,361.0462256,1,0.183737096710149,0.117752489604114,0.146746137315837,0.068062702056294,-0.4219850273644147,-0.04968978754782,-0.20132548111754703,-0.03699095939431202
Hollins Market,79.36810857736874,79.37660799026492,78.7124595642089,79.22452888488776,95.46332011628647,95.35095481872561,93.4123588562012,94.34171981811524,89.72186994174662,89.69538364410397,89.07777175903323,89.56171951293939,111,HOLLINS MARKET,68.45062547,4,0.269760908266919,0.162023378339827,0.181039749786159,0.124720836334045,-0.23022938040178273,-0.037302542005781994,-0.3288881218956066,-0.08872115848076001
Homeland,75.3173424821103,75.20711708068845,74.73822746276858,74.80371971130367,93.27663166813139,93.24943161010737,91.00454025268562,92.11700897216798,87.05238091711576,87.10467872619631,84.43554344177252,85.72297973632809,112,HOMELAND,394.0702574,5,0.545779400806385,0.406448444309517,0.692723957480679,0.540723144578109,0.33036096496002254,0.134274700268592,0.26923800432406314,0.14694455667429407
Hopkins Bayview,80.01665444336538,79.94970207214358,79.24941635131833,79.7306964874268,94.66131383303218,94.58119430541986,92.35534362792963,93.53585891723631,89.42195361343737,89.44905128478999,88.36878967285153,88.63580551147467,113,HOPKINS BAYVIEW,265.78480128,2,0.126153582884518,0.068398873922679,0.109935503397589,0.048277702335323,-0.29417401827553236,-0.020121171587356004,-0.12855821543947085,-0.016218079486929007
Howard Park,75.75896213173655,75.67725553512574,73.55972061157226,74.61161689758296,93.33241017077239,93.40842266082761,87.27647743225094,91.14484252929694,87.18679485656557,87.23936166763306,83.44377326965335,84.89616928100583,114,HOWARD PARK,676.78508534,1,0.342119208055157,0.168186570769854,0.53939318004301,0.394549456316886,1.3459034482413361,0.226362885547032,0.5766234907104314,0.19727397198785296
Hunting Ridge,75.853320442458,75.85401954650882,73.88527984619144,75.1472003936768,93.3432890280124,93.63014907836919,87.15408630371095,93.54764175415033,87.09745125743524,87.47391204833991,81.5062038421631,86.52843208312989,115,HUNTING RIDGE,167.56908091,4,0.559193962090495,0.428761488119909,0.72575322404476,0.608794485764396,0.4198907845803033,0.180032997644487,0.29785597350085563,0.16655926195426496
