date_hour,mean_indoor_temperature,mean_indoor_heat_index,mean_outdoor_temperature,mean_outdoor_heat_index,indoor_temperature_difference,indoor_heat_index_difference
2019-06-25T22:00:00Z,81.1,81.4,81,82,0.09999999999999432,-0.5999999999999943
2019-06-25T23:00:00Z,80.9,81,79,80,1.9000000000000057,1
2019-06-26T00:00:00Z,80.7,81,78.1,78,2.6000000000000085,3
2019-06-26T01:00:00Z,80.5,81,77,77,3.5,4
2019-06-26T02:00:00Z,80.3,81,75.9,76,4.3999999999999915,5
2019-06-26T03:00:00Z,80.8,81.4,73.9,74,6.8999999999999915,7.400000000000006
2019-06-26T04:00:00Z,81.6,82.5,73,73,8.599999999999994,9.5
2019-06-26T05:00:00Z,82,83,73,73,9,10
2019-06-26T06:00:00Z,82.2,83.5,73.9,74,8.299999999999997,9.5
2019-06-26T07:00:00Z,82.3,83.6,78.1,78,4.200000000000003,5.599999999999994
2019-06-26T08:00:00Z,82.9,84.5,82,83,0.9000000000000057,1.5
2019-06-26T09:00:00Z,83.6,85.9,84,84,-0.4000000000000057,1.9000000000000057
2019-06-26T10:00:00Z,83.3,84.8,86,87,-2.700000000000003,-2.200000000000003
2019-06-26T11:00:00Z,82.9,84,88,88,-5.099999999999994,-4
2019-06-26T12:00:00Z,82.5,83.1,87.1,88,-4.599999999999994,-4.900000000000006
2019-06-26T13:00:00Z,82.3,83,89.1,90,-6.799999999999997,-7
2019-06-26T14:00:00Z,82.2,83,90,90,-7.799999999999997,-7
2019-06-26T15:00:00Z,82.2,83,91.9,93,-9.700000000000003,-10
2019-06-26T16:00:00Z,82.1,82.1,90,90,-7.900000000000006,-7.900000000000006
2019-06-26T17:00:00Z,82.1,82.5,90,90,-7.900000000000006,-7.5
2019-06-26T18:00:00Z,82.2,83,90,90,-7.799999999999997,-7
2019-06-26T19:00:00Z,82.2,83,88,88,-5.799999999999997,-5
2019-06-26T20:00:00Z,82,82.1,87.1,87,-5.099999999999994,-4.900000000000006
2019-06-26T21:00:00Z,81.8,82,84.9,86,-3.1000000000000085,-4
2019-06-26T22:00:00Z,82.1,82.5,84,85,-1.9000000000000057,-2.5
2019-06-26T23:00:00Z,82.1,82.9,82,83,0.09999999999999432,-0.09999999999999432
2019-06-27T00:00:00Z,81.8,82,81,83,0.7999999999999972,-1
2019-06-27T01:00:00Z,81.4,81.5,79,81,2.4000000000000057,0.5
2019-06-27T02:00:00Z,81.1,81,79,81,2.0999999999999943,0
2019-06-27T03:00:00Z,81.2,81.5,79,81,2.200000000000003,0.5
2019-06-27T04:00:00Z,82.1,82.7,79,81,3.0999999999999943,1.7000000000000028
2019-06-27T05:00:00Z,82.6,83.8,80.1,82,2.5,1.7999999999999972
2019-06-27T06:00:00Z,82.2,82.5,80.1,82,2.1000000000000085,0.5
2019-06-27T07:00:00Z,81.5,81.7,82,84,-0.5,-2.299999999999997
2019-06-27T08:00:00Z,81.5,81.7,84.9,85,-3.4000000000000057,-3.299999999999997
2019-06-27T09:00:00Z,81.7,82,88,89,-6.299999999999997,-7
2019-06-27T10:00:00Z,81.9,82,89.1,90,-7.199999999999989,-8
2019-06-27T11:00:00Z,81.9,82,91,92,-9.099999999999994,-10
2019-06-27T12:00:00Z,81.8,82,90,90,-8.200000000000003,-8
2019-06-27T13:00:00Z,81.7,82,93,95,-11.299999999999997,-13
2019-06-27T14:00:00Z,81.7,82,91.9,95,-10.200000000000003,-13
2019-06-27T15:00:00Z,81.9,82,93,97,-11.099999999999994,-15
2019-06-27T16:00:00Z,81.9,82,91,94,-9.099999999999994,-12
2019-06-27T17:00:00Z,81.8,82,88,91,-6.200000000000003,-9
2019-06-27T18:00:00Z,81.7,82,87.1,91,-5.3999999999999915,-9
2019-06-27T19:00:00Z,81.7,82,87.1,91,-5.3999999999999915,-9
2019-06-27T20:00:00Z,81.8,82,86,89,-4.200000000000003,-7
2019-06-27T21:00:00Z,81.6,82,84,86,-2.4000000000000057,-4
2019-06-27T22:00:00Z,81.5,82,81,82,0.5,0
2019-06-27T23:00:00Z,81.4,81.2,80.1,81,1.3000000000000114,0.20000000000000284
2019-06-28T00:00:00Z,81.2,81,79,81,2.200000000000003,0
2019-06-28T01:00:00Z,81,81,79,81,2,0
