zcta5ce10,geoid10,classfp10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,07_lid_mean,15_lid_mean,lid_change_percent,change_percent_point
21222,21222,B5,G6350,S,28394454,5705215,39.26484,-76.4925655,79.96946200647477,79.89844398498536,78.52769012451165,81.69481849670402,94.87396167942758,95.06157150268562,91.8749458312988,97.21078567504881,89.50101893237857,89.35971183776857,87.21933822631831,92.18022155761713,0.087011973178951,0.085293819719228,-0.019746172819106154,-0.0017181534597229958
21226,21226,B5,G6350,S,25718275,17454348,39.2088881,-76.5629259,78.8416293239123,78.93852043151858,75.03827095031738,81.78638610839846,95.02590209407285,95.0873344421387,89.98766632080086,97.60922546386712,89.02208868421317,89.1107856750488,83.86507492065428,91.94862976074212,0.132734314413731,0.131285263114931,-0.010916930600804148,-0.0014490512988000193
21225,21225,B5,G6350,S,16768581,613825,39.2261173,-76.6157349,77.94693392452899,78.12104835510249,74.25978660583502,79.97344970703116,95.05425794854605,95.14270210266122,91.10932235717775,97.72402572631832,88.60960144285863,88.647466468811,83.88357658386224,91.05370407104486,0.209514092134757,0.227678131947807,0.08669602902590014,0.01816403981305001
21212,21212,B5,G6350,S,12021176,97318,39.3685612,-76.6148978,75.95360410404182,75.83971157073968,74.20318298339846,77.89350776672373,93.64547328091106,93.73145332336429,91.08361434936523,96.04151077270514,87.63939595103037,87.76909580230705,84.55332717895514,89.27254562377928,0.440048511840225,0.443212734844568,0.00719062312268864,0.0031642230043430475
21214,21214,B5,G6350,S,7392916,0,39.3517934,-76.5643999,77.23124366852247,77.2092964172363,75.41851463317869,79.5714736938476,93.81088064232355,93.76628341674812,89.33072166442868,97.05000076293938,88.1883452314301,88.14786148071283,84.94098663330087,91.83670654296884,0.353776626335756,0.359204803938812,0.01534351678141759,0.0054281776030559725
21234,21234,B5,G6350,S,33625986,11024,39.3934171,-76.5342276,77.43939538375903,77.56073017120363,75.62595710754391,78.5074924468994,93.79044338270036,93.80006637573236,87.4055770874024,95.37572555541986,88.4333414861096,88.59031009674081,83.25571479797372,90.60613479614264,0.292693897487647,0.292304926144279,-0.0013289356105705373,-3.889713433680164e-4
21239,21239,B5,G6350,S,8377621,2110,39.367099,-76.5891708,77.05680130649822,77.13835906982413,74.3710231781006,78.60832977294913,93.91514119547486,94.15457458496095,87.17520751953117,95.78107299804694,88.4415862065209,88.75127525329597,83.23056297302253,90.21160888671884,0.327325028185274,0.318477174286079,-0.02703078939074239,-0.008847853899194957
21251,21251,B5,G6350,S,456625,0,39.344707,-76.581242,76.69146045223508,76.62402725219727,75.42585144042962,78.3327445983887,93.73729088001434,94.12734909057619,89.64883422851557,95.60120620727534,88.1332868487209,88.22028884887689,85.39557685852046,89.84170608520515,0.489824736172372,0.502923234126088,0.026741193301243468,0.013098497953715982
21206,21206,B5,G6350,S,18571036,3869,39.3384283,-76.5388766,77.08291878063127,77.13899078369144,73.60731201171885,79.01005859375,94.21022388285608,94.2644584655762,87.39584732055668,97.5059677124024,88.24058721352274,88.25039482116703,83.39853363037106,90.63322296142586,0.326954987831912,0.333798844994132,0.020932108140030593,0.006843857162219968
21236,21236,B5,G6350,S,22189007,27168,39.3884211,-76.4835503,76.82454697632926,76.81006355285642,75.61188774108878,77.75676231384273,93.11966872840742,93.3702880859375,87.44308509826652,94.7245521545411,86.95682164538601,87.19214019775393,83.35578308105462,88.65619544982903,0.363441939686532,0.346820204504052,-0.04573422428026941,-0.016621735182480002
21213,21213,B5,G6350,S,8838038,1899,39.315031,-76.5774287,79.11706569929169,79.48272991180424,75.1430255889893,80.94708213806156,95.65324611167642,95.43202018737799,88.19839515686036,99.42508697509761,89.98914138370574,89.8486137390137,84.47817039489752,94.0128990173339,0.165764267634799,0.168314706761049,0.015385940303304441,0.002550439126249998
21237,21237,B5,G6350,S,29801576,659932,39.3415368,-76.4952701,77.89863773601212,77.8718235015869,76.79379692077629,79.5536483764649,95.2449995522372,95.27752838134761,92.21568679809572,97.06320495605462,89.58603024131666,89.58465347290034,87.90681114196772,90.94030456542963,0.198115464399403,0.203058930578601,0.02495244979580147,0.004943466179197997
21227,21227,B5,G6350,S,29876646,556260,39.2399698,-76.6794498,79.06902490074165,79.10577869415278,75.72354660034178,81.2128688812256,95.48785624591095,95.5173530578613,93.70298156738288,97.37529220581062,89.92012823679363,89.91225547790523,88.12243499755857,91.67743225097654,0.212825923345504,0.225728984294991,0.0606272992813006,0.01290306094948701
21208,21208,B5,G6350,S,31911112,65741,39.386425,-76.7211463,76.53835348278997,76.52808570861825,75.87881431579598,77.71846466064451,94.05474806775399,94.13717842102045,93.10909500122071,95.27344970703116,88.04458723683939,87.96636047363288,87.02556343078622,89.32663955688476,0.301275059538277,0.289978460584501,-0.03749596455507716,-0.011296598953775994
